S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 Code,Census 2011 Code
352,33,Tamil Nadu,568,Chennai,7163,3,Ayanavaram,0,0
353,9,Uttar Pradesh,123,Azamgarh,966,4,Azamgarh,3,966
354,10,Bihar,201,Katihar,1148,1,Azamnagar,7,1148
355,18,Assam,618,Kamrup Metro,2127,1,Azara,9,2127
356,3,Punjab,27,Amritsar,258,3,Baba Bakala,7,258
357,6,Haryana,68,Kurukshetra,6454,1,Babain St,0,0
358,29,Karnataka,530,Vijayapura,7069,3,Babaleshwar,0,0
359,9,Uttar Pradesh,128,Banda,872,56,Baberu,2,872
360,24,Gujarat,439,Amreli,3840,1,Babra,2,3840
361,10,Bihar,206,Madhubani,1088,1,Babubarhi,9,1088
362,27,Maharashtra,500,Yavatmal,4080,1,Babulgaon,2,4080
363,36,Telangana,689,Jangoan,4674,2,Bachannapet,3,4674
364,10,Bihar,191,Begusarai,1310,1,Bachhwara,7,1310
365,36,Telangana,700,Medchal Malkajgiri,6315,1,Bachupally,0,0
366,23,Madhya Pradesh,434,Tikamgarh,6998,2,Badagaon (Dhasan),0,0
367,23,Madhya Pradesh,398,Chhatarpur,3431,1,Bada Malhera,0,3431
368,29,Karnataka,524,Bagalkote,5446,6,Badami,4,5446
369,28,Andhra Pradesh,521,Vizianagaram,4820,1,Badangi,14,4820
370,7,Delhi,670,South East,7573,3,Badarpur,0,0
371,18,Assam,293,Sribhumi,2102,2,Badarpur,2,2102
372,23,Madhya Pradesh,432,Shivpuri,3412,3,Badarwas,0,3412
373,21,Odisha,365,Mayurbhanj,2882,2,Badasahi,19,2882
374,2,Himachal Pradesh,25,Solan,162,4,Baddi,0,162
375,22,Chhattisgarh,376,Dakshin Bastar Dantewada,6509,1,Bade Bacheli,0,0
376,22,Chhattisgarh,643,Kondagaon,3356,3,Baderajpur,1,3356
377,8,Rajasthan,117,Udaipur,6903,4,Badgaon,0,0
378,6,Haryana,701,Charkhi Dadri,403,2,Badhra,6,403
379,23,Madhya Pradesh,421,Raisen,3595,7,Badi,0,3595
380,6,Haryana,60,Faridabad,6407,2,Badkhal,0,0
381,9,Uttar Pradesh,152,Jaunpur,982,1,Badlapur,2,982
382,7,Delhi,80,North,7570,2,Badli,0,0
