event_id,state_code,scope,kind,polled_on,leading_party_id,seats_won,seats_contested,turnout_pct,runner_up_party_id,runner_up_seats,source_id
assembly-2007,S19,state,assembly,2007-01-30,parties.IN.SAD,48,116,75.3572,parties.IN.INC,44,src-0c1b8f274551
assembly-2007,S24,state,assembly,2007-04-07,parties.IN.BSP,208,403,45.9931,parties.IN.SP,95,src-0c1b8f274551
assembly-2007,S28,state,assembly,2007-02-21,parties.IN.BJP,35,69,63.091,parties.IN.INC,20,src-0c1b8f274551
assembly-2008,S10,state,assembly,2008-05-22,parties.IN.BJP,110,224,64.8015,parties.IN.INC,80,src-0c1b8f274551
assembly-2008,S12,state,assembly,2008-11-27,parties.IN.BJP,142,229,69.5622,parties.IN.INC,71,src-0c1b8f274551
assembly-2008,S15,state,assembly,2008-03-03,parties.IN.INC,25,60,89.3932,parties.IN.NCP,15,src-0c1b8f274551
assembly-2008,S16,state,assembly,2008-12-02,parties.IN.INC,26,32,83.2425,parties.IN.MNF,3,src-0c1b8f274551
assembly-2008,S17,state,assembly,2008-03-05,parties.IN.NPF,26,60,87.0192,parties.IN.INC,23,src-0c1b8f274551
assembly-2008,S20,state,assembly,2008-12-04,parties.IN.INC,96,200,66.1223,parties.IN.BJP,78,src-0c1b8f274551
assembly-2008,S23,state,assembly,2008-02-23,parties.IN.CPIM,46,60,92.2882,parties.IN.INC,10,src-0c1b8f274551
assembly-2008,S26,state,assembly,2008-11-20,parties.IN.BJP,51,90,70.6509,parties.IN.INC,37,src-0c1b8f274551
assembly-2008,U05,state,assembly,2008-11-29,parties.IN.INC,43,70,57.574,parties.IN.BJP,23,src-0c1b8f274551
assembly-2009,S02,state,assembly,2009-10-13,parties.IN.INC,42,60,76.6269,parties.IN.AITC,5,src-0c1b8f274551
assembly-2009,S07,state,assembly,2009-10-13,parties.IN.INC,40,90,72.3488,parties.IN.INLD,31,src-0c1b8f274551
assembly-2009,S13,state,assembly,2009-10-01,parties.IN.INC,73,266,60.8462,parties.IN.NCP,61,src-0c1b8f274551
assembly-2009,S18,state,assembly,2009-04-23,parties.IN.BJD,102,146,65.4428,parties.IN.INC,27,src-0c1b8f274551
assembly-2009,S21,state,assembly,2009-04-30,parties.IN.SDF,29,29,84.2152,,,src-0c1b8f274551
assembly-2009,S27,state,assembly,2009-12-18,parties.IN.BJP,18,81,56.9758,parties.IN.JMM,18,src-0c1b8f274551
assembly-2010,S04,state,assembly,2010-11-20,parties.IN.JDU,114,243,53.7131,parties.IN.BJP,91,src-0c1b8f274551
assembly-2011,S03,state,assembly,2011-04-11,parties.IN.INC,78,126,75.9862,parties.IN.AIUDF,18,src-0c1b8f274551
