constituency_slug,constituency_name,district,category,voters_eligible,votes_polled,turnout_pct,nota_votes,winner_candidate,winner_party_abbreviation,winner_votes,runnerup_candidate,runnerup_party_abbreviation,runnerup_votes,margin_votes,margin_pct
sikrai,sikaraay,DAUSA,SC,526806,182498,34.6424,1210,VIKRAM BANSIWAL,BJP,91996,MAMTA BHUPESH,INC,82568,9428,5.1661
sirohi,sirohi,SIROHI,GEN,608981,200233,32.88,2339,OTA RAM DEWASI,BJP,114729,SANYAM LODHA,INC,78924,35805,17.8817
siwana,sivaana,BARMER,GEN,552498,176443,31.9355,2260,HAMEER SINGH BHAYAL,BJP,62875,SUNIL PARIHAR,IND,51068,11807,6.6917
sojat,sojat,PALI,SC,492463,168081,34.1307,2024,SHOBHA CHAUHAN,BJP,94852,NIRANJAN ARYA,INC,63080,31772,18.9028
soorsagar,sursagar,JODHPUR,GEN,577371,199175,34.4969,1734,DEVENDRA  JOSHI,BJP,117065,ER. SHAHZAD AIYUB KHAN,INC,78306,38759,19.4598
srimadhopur,shrimadhopur,SIKAR,GEN,559514,193756,34.6293,2676,JHABAR SINGH KHARRA,BJP,81080,DEEPENDRA SINGH,INC,66621,14459,7.4625
sujangarh,sujangadh,CHURU,SC,579010,199201,34.4037,1788,MANOJ KUMAR,INC,86790,SANTOSH MEGHWAL W/O MANOJ KUMAR,BJP,84337,2453,1.2314
sumerpur,sumerpur,PALI,GEN,622406,190196,30.5582,2290,JORARAM KUMAWAT,BJP,104044,HARISHANKAR,INC,76662,27382,14.3967
surajgarh,surajgarh,JHUNJHUNU,GEN,582938,199324,34.193,1024,Sharwan Kumar S/O Gokal Ram,INC,115684,Santosh Ahalawat,BJP,78270,37414,18.7704
suratgarh,suratgarh,GANGANAGAR,GEN,512394,207426,40.4817,1717,Dungarram Gedar,INC,116841,Rampratap Kasania,BJP,66382,50459,24.3263
taranagar,taranagar,CHURU,GEN,526440,217724,41.3578,867,NARENDRA BUDANIA,INC,108236,RAJENDRA RATHORE,BJP,97891,10345,4.7514
thanagazi,thanagaji,ALWAR,GEN,443221,167711,37.8391,1096,KANTI PRASAD,INC,67350,HEMSINGH,BJP,65411,1939,1.1562
tijara,tijaara,ALWAR,GEN,525454,224017,42.633,778,MAHANT BALAK NATH,BJP,110209,IMRAN KHAN,INC,104036,6173,2.7556
