constituency_slug,constituency_name,district,category,candidate_slug,candidate_name,party_slug,party_abbreviation,votes,vote_share_pct,position,won
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425288,GHANSHYAM LAL JANWA,ind,IND,311,0.1446,9,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425290,BHUPAL SINGH RATHORE,ind,IND,305,0.1418,10,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425287,GULAB CHAND SAHLOT,ind,IND,260,0.1209,11,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425289,BANSI LAL KUMAWAT,ind,IND,225,0.1046,12,0
barmer,barmer,BARMER,GEN,c-ac-425300,DR. PRIYANKA CHOWDHARY,ind,IND,106948,49.6608,1,1
barmer,barmer,BARMER,GEN,c-ac-425297,MEWARAM JAIN,inc,INC,93611,43.4678,2,0
barmer,barmer,BARMER,GEN,c-ac-425295,DEEPAK KARWASARA,bjp,BJP,5355,2.4866,3,0
barmer,barmer,BARMER,GEN,c-ac-425296,BHAGWAN SINGH,aap,AAP,2282,1.0596,4,0
barmer,barmer,BARMER,GEN,c-ac-425298,HARKHA RAM MEGHWAL,bsp-2,BSP,2053,0.9533,5,0
barmer,barmer,BARMER,GEN,c-ac-425294,JOGA RAM DUDI,rlp-3,RLP,1682,0.781,6,0
barmer,barmer,BARMER,GEN,c-ac-425299,SURESH KUMAR MEGHWAL,bmup,BMUP,1404,0.6519,7,0
barmer,barmer,BARMER,GEN,c-ac-425301,BABU LAL,ind,IND,1247,0.579,8,0
barmer,barmer,BARMER,GEN,c-ac-425302,HARKHA RAM,ind,IND,775,0.3599,9,0
baseri,basedi,DHOLPUR,SC,c-ac-425304,SANJAY KUMAR,inc,INC,86145,57.3112,1,1
baseri,basedi,DHOLPUR,SC,c-ac-425305,SUKHRAM,bjp,BJP,59035,39.2752,2,0
baseri,basedi,DHOLPUR,SC,c-ac-425307,KHILADI LAL BAIRWA,ind,IND,1366,0.9088,3,0
baseri,basedi,DHOLPUR,SC,c-ac-425303,DAULAT RAM,bsp-2,BSP,1133,0.7538,4,0
baseri,basedi,DHOLPUR,SC,c-ac-425309,DWARIKA PRASAD,ind,IND,830,0.5522,5,0
baseri,basedi,DHOLPUR,SC,c-ac-425306,SULTAN SINGH,rjvp,RJVP,747,0.497,6,0
baseri,basedi,DHOLPUR,SC,c-ac-425310,PANJAB SINGH,ind,IND,676,0.4497,7,0
baseri,basedi,DHOLPUR,SC,c-ac-425308,GUDDI MAURYA,ind,IND,379,0.2521,8,0
bassi,bassi,JAIPUR,ST,c-ac-425314,LAXMAN,inc,INC,88043,47.7299,1,1
bassi,bassi,JAIPUR,ST,c-ac-425311,CHANDRAMOHAN MEENA,bjp,BJP,81729,44.3069,2,0
bassi,bassi,JAIPUR,ST,c-ac-425317,JITENDRA MEENA,ind,IND,9564,5.1848,3,0
bassi,bassi,JAIPUR,ST,c-ac-425316,ANJU DEVI DHANKA,ind,IND,1094,0.5931,4,0
bassi,bassi,JAIPUR,ST,c-ac-425315,SURESH KUMAR,rlp-3,RLP,834,0.4521,5,0
