indicator_id,name,concept_id,unit,derivation,topic,source_id,update_period_days,time_min,time_max,entity_kinds
india-final-energy-consumption-mtoe-agriculture-oil,Agriculture (oil),agriculture-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-cgd-and-others-gas,Cgd And Others (gas),cgd-and-others-gas,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-commercial-electricity,Commercial (electricity),commercial-electricity,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-commercial-oil,Commercial (oil),commercial-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-industry-coal,Industry (coal),industry-coal,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-industry-electricity,Industry (electricity),industry-electricity,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-industry-gas,Industry (gas),industry-gas,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-industry-oil,Industry (oil),industry-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-non-energy-gas,Non Energy (gas),non-energy-gas,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-non-energy-oil,Non Energy (oil),non-energy-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-other-electricity,Other (electricity),other-electricity,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-other-oil,Other (oil),other-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-residential-electricity,Residential (electricity),residential-electricity,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-residential-oil,Residential (oil),residential-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-transport-electricity,Transport (electricity),transport-electricity,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-final-energy-consumption-mtoe-transport-oil,Transport (oil),transport-oil,mtoe,,energy,src-29ecbb6dce9d,365,,,
india-primary-energy-supply-mtoe,Primary energy supply,primary-energy-supply,mtoe,,energy,src-170d3536d908,365,,,
india-primary-energy-supply-mtoe-coal,Coal,coal-absolute,mtoe,,energy,src-170d3536d908,365,,,
india-primary-energy-supply-mtoe-gas,Natural gas,natural-gas,mtoe,,energy,src-170d3536d908,365,,,
india-primary-energy-supply-mtoe-hydro,Hydro,hydro-absolute,mtoe,,energy,src-170d3536d908,365,,,
india-primary-energy-supply-mtoe-nuclear,Nuclear,nuclear-absolute,mtoe,,energy,src-170d3536d908,365,,,
india-primary-energy-supply-mtoe-oil,Oil,oil,mtoe,,energy,src-170d3536d908,365,,,
india-primary-energy-supply-mtoe-renewable,Renewables,renewables,mtoe,,energy,src-170d3536d908,365,,,
india-thermal-capacity-retired-mw,Thermal capacity retired,thermal-capacity-retired,MW,,energy,src-fd152bd3c6c6,365,,,
india-thermal-capacity-retired-mw-coal,Coal,coal-mw-retired,MW,,energy,src-fd152bd3c6c6,365,,,
india-thermal-capacity-retired-mw-gas,Gas,gas-mw-retired,MW,,energy,src-fd152bd3c6c6,365,,,
installed-capacity-allocated-mw,Capacity allocated to state,capacity-allocated-to-state-2,MW,,energy,src-bb1d7bec8b34,365,,,
installed-capacity-allocated-mw-coal,Coal,coal-mw-allocated,MW,,energy,src-bb1d7bec8b34,365,,,
installed-capacity-allocated-mw-gas,Gas,gas-mw-allocated,MW,,energy,src-bb1d7bec8b34,365,,,
installed-capacity-allocated-mw-hydro,Hydro,hydro-mw-allocated,MW,,energy,src-bb1d7bec8b34,365,,,
installed-capacity-allocated-mw-nuclear,Nuclear,nuclear-mw-allocated,MW,,energy,src-bb1d7bec8b34,365,,,
installed-capacity-allocated-mw-renewable,Renewable,renewable-mw-allocated,MW,,energy,src-bb1d7bec8b34,365,,,
installed-capacity-geographical-mw,Capacity sited in state,capacity-sited-in-state,MW,,energy,src-1240f07df0ac,365,,,
installed-capacity-mw,All-India installed capacity,all-india-installed-capacity,MW,,energy,src-092a5dc7af3f,30,,,
installed-capacity-snapshot-mw,Capacity snapshot (CEA),capacity-snapshot-cea,MW,,energy,src-092a5dc7af3f,30,,,
livestock-naip-iv-calves-born,Calves born,calves-born,calves,,agriculture,src-93a2a72db482,365,,,
livestock-naip-iv-farmers-benefitted,Farmers benefitted,farmers-benefitted,farmers,,agriculture,src-93a2a72db482,365,,,
livestock-naip-iv-inseminations,AI events,ai-events,events,,agriculture,src-93a2a72db482,365,,,
livestock-naip-iv-pregnancy-diagnoses,Pregnancy diagnoses,pregnancy-diagnoses,events,,agriculture,src-93a2a72db482,365,,,
livestock-owner-reg-count,Livestock owners registered,livestock-owners-registered,owners,,agriculture,,365,,,
livestock-owner-reg-count-landless-marginal,Landless / marginal (<1 Ha),landless-marginal-1-ha,owners,,agriculture,src-d98dc531ef7e,365,,,
livestock-owner-reg-count-large,Large (>=10 Ha),large-10-ha,owners,,agriculture,src-d98dc531ef7e,365,,,
livestock-owner-reg-count-medium,Medium (4.0-9.99 Ha),medium-4-0-9-99-ha,owners,,agriculture,src-d98dc531ef7e,365,,,
livestock-owner-reg-count-not-specified,Not specified,not-specified,owners,,agriculture,src-d98dc531ef7e,365,,,
