entity_id,time,sector,fuel,value,source_id
IN,2013,agriculture,oil,0.523263,src-29ecbb6dce9d
IN,2013,cgd-and-others,gas,12.723547912865,src-29ecbb6dce9d
IN,2013,commercial,electricity,6.385242,src-29ecbb6dce9d
IN,2013,commercial,oil,1.263955,src-29ecbb6dce9d
IN,2013,industry,coal,114.55737559998093,src-29ecbb6dce9d
IN,2013,industry,electricity,33.059948,src-29ecbb6dce9d
IN,2013,industry,gas,3.91198709359793,src-29ecbb6dce9d
IN,2013,industry,oil,12.7348145,src-29ecbb6dce9d
IN,2013,non-energy,gas,18.0651015054745,src-29ecbb6dce9d
IN,2013,non-energy,oil,18.874637,src-29ecbb6dce9d
IN,2013,other,electricity,4.077948,src-29ecbb6dce9d
IN,2013,other,oil,75.8552365,src-29ecbb6dce9d
IN,2013,residential,electricity,17.186412,src-29ecbb6dce9d
IN,2013,residential,oil,23.6094085,src-29ecbb6dce9d
IN,2013,transport,electricity,1.33644,src-29ecbb6dce9d
IN,2013,transport,oil,27.9203335,src-29ecbb6dce9d
IN,2014,agriculture,electricity,14.526518,src-29ecbb6dce9d
IN,2014,agriculture,gas,0.166942627737226,src-29ecbb6dce9d
IN,2014,agriculture,oil,0.657819,src-29ecbb6dce9d
IN,2014,cgd-and-others,gas,10.8291542347172,src-29ecbb6dce9d
IN,2014,commercial,electricity,6.741626,src-29ecbb6dce9d
IN,2014,commercial,oil,1.2504345,src-29ecbb6dce9d
IN,2014,industry,coal,156.91029576904384,src-29ecbb6dce9d
IN,2014,industry,electricity,35.81255,src-29ecbb6dce9d
IN,2014,industry,gas,4.72487041172445,src-29ecbb6dce9d
IN,2014,industry,oil,15.1376925,src-29ecbb6dce9d
IN,2014,non-energy,gas,17.7959287180657,src-29ecbb6dce9d
IN,2014,non-energy,oil,18.761623,src-29ecbb6dce9d
IN,2014,other,electricity,4.238854,src-29ecbb6dce9d
IN,2014,other,oil,74.9802985,src-29ecbb6dce9d
IN,2014,residential,electricity,18.69683,src-29ecbb6dce9d
IN,2014,residential,oil,25.3542305,src-29ecbb6dce9d
IN,2014,transport,electricity,1.391222,src-29ecbb6dce9d
IN,2014,transport,oil,31.6962465,src-29ecbb6dce9d
IN,2015,agriculture,electricity,14.89391,src-29ecbb6dce9d
IN,2015,agriculture,gas,0.173029077706813,src-29ecbb6dce9d
IN,2015,agriculture,oil,0.7169625,src-29ecbb6dce9d
IN,2015,cgd-and-others,gas,9.23616007907542,src-29ecbb6dce9d
IN,2015,commercial,electricity,7.399182,src-29ecbb6dce9d
IN,2015,commercial,oil,1.7215475,src-29ecbb6dce9d
IN,2015,industry,coal,154.89068649959108,src-29ecbb6dce9d
IN,2015,industry,electricity,37.498494,src-29ecbb6dce9d
IN,2015,industry,gas,5.20018700463808,src-29ecbb6dce9d
IN,2015,industry,oil,19.618952,src-29ecbb6dce9d
IN,2015,non-energy,gas,19.5787590632603,src-29ecbb6dce9d
IN,2015,non-energy,oil,20.7421285,src-29ecbb6dce9d
IN,2015,other,electricity,5.415936,src-29ecbb6dce9d
IN,2015,other,oil,81.2397995,src-29ecbb6dce9d
IN,2015,residential,electricity,20.540756,src-29ecbb6dce9d
IN,2015,residential,oil,26.3634215,src-29ecbb6dce9d
IN,2015,transport,electricity,1.427084,src-29ecbb6dce9d
IN,2015,transport,oil,36.457501,src-29ecbb6dce9d
IN,2016,agriculture,electricity,16.438986,src-29ecbb6dce9d
IN,2016,agriculture,gas,0.169578856067518,src-29ecbb6dce9d
IN,2016,agriculture,oil,0.6898252,src-29ecbb6dce9d
IN,2016,cgd-and-others,gas,10.6995165503346,src-29ecbb6dce9d
IN,2016,commercial,electricity,7.72495,src-29ecbb6dce9d
IN,2016,commercial,oil,2.0945583,src-29ecbb6dce9d
IN,2016,industry,coal,146.42371445573133,src-29ecbb6dce9d
IN,2016,industry,electricity,37.857716,src-29ecbb6dce9d
IN,2016,industry,gas,5.70537160203771,src-29ecbb6dce9d
IN,2016,industry,oil,23.53033551,src-29ecbb6dce9d
IN,2016,non-energy,gas,19.649733729851,src-29ecbb6dce9d
IN,2016,non-energy,oil,20.53415696,src-29ecbb6dce9d
IN,2016,other,electricity,5.890398,src-29ecbb6dce9d
IN,2016,other,oil,83.32887325,src-29ecbb6dce9d
