state_code,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,winner_party_id_consensus,winner_party_id_per_oracle,winner_candidate_per_oracle,verdict,curator_note,curator_source_id
assam,211,KOKRAJHAR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.UPPL,bhukyavenkatamahesh-pc=parties.IN.UPPL|yen-gov-canonical-pc=parties.IN.UPPL,bhukyavenkatamahesh-pc=JOYANTA BASUMATARY|yen-gov-canonical-pc=JOYANTA BASUMATARY,VERIFIED,,
assam,212,LAKHIMPUR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=PRADAN BARUAH|yen-gov-canonical-pc=PRADAN BARUAH,VERIFIED,,
assam,213,DARRANG-UDALGURI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=DILIP SAIKIA|yen-gov-canonical-pc=DILIP SAIKIA,VERIFIED,,
assam,214,NAGAON,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.INC,bhukyavenkatamahesh-pc=parties.IN.INC|yen-gov-canonical-pc=parties.IN.INC,bhukyavenkatamahesh-pc=PRADYUT BORDOLOI|yen-gov-canonical-pc=PRADYUT BORDOLOI,VERIFIED,,
assam,215,SILCHAR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=PARIMAL SUKLABAIDYA|yen-gov-canonical-pc=PARIMAL SUKLABAIDYA,VERIFIED,,
assam,216,SONITPUR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=RANJIT DUTTA|yen-gov-canonical-pc=RANJIT DUTTA,VERIFIED,,
bihar,152,ARARIA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=PRADEEP KUMAR SINGH|yen-gov-canonical-pc=PRADEEP KUMAR SINGH,VERIFIED,,
bihar,153,ARRAH,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.CPIMLL,bhukyavenkatamahesh-pc=parties.IN.CPIMLL|yen-gov-canonical-pc=parties.IN.CPIMLL,bhukyavenkatamahesh-pc=SUDAMA PRASAD|yen-gov-canonical-pc=SUDAMA PRASAD,VERIFIED,,
bihar,154,AURANGABAD,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.RJD,bhukyavenkatamahesh-pc=parties.IN.RJD|yen-gov-canonical-pc=parties.IN.RJD,bhukyavenkatamahesh-pc=ABHAY KUMAR SINHA|yen-gov-canonical-pc=ABHAY KUMAR SINHA,VERIFIED,,
bihar,155,BANKA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=GIRIDHARI YADAV|yen-gov-canonical-pc=GIRIDHARI YADAV,VERIFIED,,
bihar,156,BEGUSARAI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=GIRIRAJ SINGH|yen-gov-canonical-pc=GIRIRAJ SINGH,VERIFIED,,
bihar,157,BHAGALPUR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=AJAY KUMAR MANDAL|yen-gov-canonical-pc=AJAY KUMAR MANDAL,VERIFIED,,
bihar,158,BUXAR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.RJD,bhukyavenkatamahesh-pc=parties.IN.RJD|yen-gov-canonical-pc=parties.IN.RJD,bhukyavenkatamahesh-pc=SUDHAKAR SINGH|yen-gov-canonical-pc=SUDHAKAR SINGH,VERIFIED,,
bihar,159,DARBHANGA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=GOPAL JEE THAKUR|yen-gov-canonical-pc=GOPAL JEE THAKUR,VERIFIED,,
bihar,160,GAYA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.HAM_SECULAR,bhukyavenkatamahesh-pc=parties.IN.HAM_SECULAR|yen-gov-canonical-pc=parties.IN.HAM_SECULAR,bhukyavenkatamahesh-pc=JITAN RAM MANJHI|yen-gov-canonical-pc=JITAN RAM MANJHI,VERIFIED,,
bihar,161,GOPALGANJ,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=DR. ALOK KUMAR SUMAN|yen-gov-canonical-pc=DR. ALOK KUMAR SUMAN,VERIFIED,,
bihar,162,HAJIPUR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.LJPRV,bhukyavenkatamahesh-pc=parties.IN.LJPRV|yen-gov-canonical-pc=parties.IN.LJPRV,bhukyavenkatamahesh-pc=CHIRAG PASWAN|yen-gov-canonical-pc=CHIRAG PASWAN,VERIFIED,,
bihar,163,JAHANABAD,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.RJD,bhukyavenkatamahesh-pc=parties.IN.RJD|yen-gov-canonical-pc=parties.IN.RJD,bhukyavenkatamahesh-pc=SURENDRA PRASAD YADAV|yen-gov-canonical-pc=SURENDRA PRASAD YADAV,VERIFIED,,
bihar,164,JAMUI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.LJPRV,bhukyavenkatamahesh-pc=parties.IN.LJPRV|yen-gov-canonical-pc=parties.IN.LJPRV,bhukyavenkatamahesh-pc=ARUN BHARTI|yen-gov-canonical-pc=ARUN BHARTI,VERIFIED,,
bihar,165,JHANJHARPUR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=RAMPRIT MANDAL|yen-gov-canonical-pc=RAMPRIT MANDAL,VERIFIED,,
bihar,166,KARAKAT,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.CPIMLL,bhukyavenkatamahesh-pc=parties.IN.CPIMLL|yen-gov-canonical-pc=parties.IN.CPIMLL,bhukyavenkatamahesh-pc=RAJA RAM SINGH|yen-gov-canonical-pc=RAJA RAM SINGH FATHER-LATE DIPAN SINGH,VERIFIED,,
bihar,167,KATIHAR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.INC,bhukyavenkatamahesh-pc=parties.IN.INC|yen-gov-canonical-pc=parties.IN.INC,bhukyavenkatamahesh-pc=TARIQ ANWAR|yen-gov-canonical-pc=TARIQ ANWAR,VERIFIED,,
bihar,168,KHAGARIA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.LJPRV,bhukyavenkatamahesh-pc=parties.IN.LJPRV|yen-gov-canonical-pc=parties.IN.LJPRV,bhukyavenkatamahesh-pc=RAJESH VERMA|yen-gov-canonical-pc=RAJESH VERMA,VERIFIED,,
bihar,169,KISHANGANJ,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.INC,bhukyavenkatamahesh-pc=parties.IN.INC|yen-gov-canonical-pc=parties.IN.INC,bhukyavenkatamahesh-pc=MOHAMMAD JAWED|yen-gov-canonical-pc=MOHAMMAD JAWED,VERIFIED,,
bihar,170,MADHEPURA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=DINESH CHANDRA YADAV|yen-gov-canonical-pc=DINESH CHANDRA YADAV,VERIFIED,,
bihar,171,MADHUBANI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=ASHOK KUMAR YADAV|yen-gov-canonical-pc=ASHOK KUMAR YADAV,VERIFIED,,
bihar,172,MAHARAJGANJ,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,"bhukyavenkatamahesh-pc=JANARDAN SINGH ""SIGRIWAL""|yen-gov-canonical-pc=JANARDAN SINGH ""SIGRIWAL""",VERIFIED,,
bihar,173,MUNGER,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=RAJIV RANJAN SINGH ALIAS LALAN SINGH|yen-gov-canonical-pc=RAJIV RANJAN SINGH ALIAS LALAN SINGH,VERIFIED,,
bihar,174,MUZAFFARPUR,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=RAJ BHUSHAN CHOUDHARY|yen-gov-canonical-pc=RAJ BHUSHAN CHOUDHARY,VERIFIED,,
bihar,175,NALANDA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.JDU,bhukyavenkatamahesh-pc=parties.IN.JDU|yen-gov-canonical-pc=parties.IN.JDU,bhukyavenkatamahesh-pc=KAUSHALENDRA KUMAR|yen-gov-canonical-pc=KAUSHALENDRA KUMAR,VERIFIED,,
bihar,176,NAWADA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=VIVEK THAKUR|yen-gov-canonical-pc=VIVEK THAKUR,VERIFIED,,
bihar,177,PASCHIM CHAMPARAN,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=DR.SANJAY JAISWAL|yen-gov-canonical-pc=DR.SANJAY JAISWAL,VERIFIED,,
bihar,178,PATLIPUTRA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.RJD,bhukyavenkatamahesh-pc=parties.IN.RJD|yen-gov-canonical-pc=parties.IN.RJD,bhukyavenkatamahesh-pc=MISHA BHARTI|yen-gov-canonical-pc=MISHA BHARTI,VERIFIED,,
bihar,179,PATNA SAHIB,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=RAVI SHANKAR PRASAD|yen-gov-canonical-pc=RAVI SHANKAR PRASAD,VERIFIED,,
