state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
delhi,1992,193543,3,95.9,13,4.1,0,ABBDP | ABDND | ABMSKP | BLMD | CP | HNP | IND | JEM | LD | PRP | RJMP | SP | SP(RP)
delhi,1993,3551248,4,95.9,47,4.1,0,ABMSKP | BAD | BJC | BJVP | BKD | BKD(J) | BLMD | BMD | BMSM | BRD | BRP | BSP | BVD | CPI | CPM | DBP | DDP | DND | DPP | ESP | FBL | FBL(M) | GLP | HMS | HSD | ICS | IDSP | IPF | IUML | JEM | JP | LKD | LPI | MB | NDPF | PRC | RMEP | RPI | RUD | RVP | SAD(M) | SHS | SHS(R) | SOP(P) | SOP(RP) | SP | SUCI
delhi,1996,4019824,4,95.0,47,5.0,0,ABDD | ABHM | ABJVP | ABMSKP | ABSR | AIAHMJKP | AIIC(T) | BAZP | BCVD | BKD(J) | BLPY | BLTMD | BLTP | BPF | BPM | BRD | BSP(R) | BSVP | CPI | CPM | DBP | ESP | FBL | HNP | ICS | ISC | IUML | JEM | JP | JSTP | LPI(V) | MB | MSP | MSS | PHK | PPNMS | PRC | RAM | RMEP | RPI | RSDP | RUD | SABJAN | SAP | SHS | SMP | SP
delhi,1997,543200,3,98.3,7,1.7,0,ABHM | BKD(J) | DMKP | JP | NLP | QP | RMMP
delhi,1998,8304995,5,97.0,60,3.0,0,ABDUP | ABGLP | ABGMKP | ABHM | ABJC | ABJS | ABLTC | ABMAD | ABSR | AD | AGRJP | AIIC(S) | AIRJP | AIRKC | AJBP | AP | BCVD | BD | BJJP | BKD(J) | BKMP | BPM | BRVP | CPI | CPI(ML)(L) | CPM | DBP | DVP | HM | ICS | INLD | JMM | JP | JSMP | KMM | LD | LS | LSWP | MSP | NDPF | NLP | PSSS | RAM | RAS | RJC | RJD | RJP | RMEP | RMMP | RPI | RRCD | RUD | SAD(M) | SAP | SHS | SHSP | SJP(R) | SP | UCP | UKKD
delhi,1999,3793488,3,95.9,18,4.1,0,ABJVP | ABMAD | AIMF | AP | BD | BEP(R) | BPM | CPI(ML)(L) | DBP | IND | JD(S) | LSWP | NCP | NCY | NLP | SP | SPSP | UCP
goa,1989,921890,4,95.5,9,4.5,0,BJP | BSP | CPI | CPM | GBS | GLP | JNP (JP) | JNP(JP) | SHS
goa,1991,314666,4,96.0,6,4.0,0,BSP | CPI | DDP | GLP | JD | LKD
goa,1994,575789,5,95.4,8,4.6,0,BSP | CPI | CPM | GLP | JD | RPI | SHS | SP
goa,1996,495925,4,97.6,3,2.4,0,CPI | IND | SP
