body,state_slug,year,event_id,publisher_label,n_rows,tcpd_party_id,tcpd_party_name,tcpd_party_type,tcpd_start_year,tcpd_last_year,tcpd_state_name,skip_reason,next_lookup_source
assembly,uttar-pradesh,1993,1993,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-1993
assembly,uttar-pradesh,1998,1998,ABLC,1,,,,,,,tcpd-placeholder-only,eci-statreport-1998
assembly,uttar-pradesh,2000,2000,RYKP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2000
assembly,uttar-pradesh,2003,2003,LJNP,2,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,uttar-pradesh,2003,2003,MUL(KSC),1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,uttar-pradesh,2003,2003,MVP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,uttar-pradesh,2004,2004,I.J.P.,1,,,,,,,tcpd-placeholder-only,eci-statreport-2004
assembly,uttar-pradesh,2004,2004,L.PH.(S),1,,,,,,,tcpd-placeholder-only,eci-statreport-2004
assembly,uttar-pradesh,2004,2004,S.P.,1,,,,,,,tcpd-placeholder-only,eci-statreport-2004
assembly,uttar-pradesh,2005,2005,NLD,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,uttar-pradesh,2005,2005,S.P,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,uttar-pradesh,2005,2005,SDBSP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,uttar-pradesh,2006,2006,JPH,1,,,,,,,tcpd-placeholder-only,eci-statreport-2006
assembly,uttar-pradesh,2009,2009,EKD,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,uttar-pradesh,2009,2009,N(U),1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,uttar-pradesh,2012,2012,JSMP,1,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-2012
assembly,uttar-pradesh,2014,2014,LOKDAL,2,,,,,,,tcpd-placeholder-only,eci-statreport-2014
assembly,uttar-pradesh,2018,2018,RJSP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2018
assembly,uttar-pradesh,2019,2019,BHARTIYA SANGATHIT PARTY(S),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,uttar-pradesh,2020,2020,ARJAK ADHIKAR DAL,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2020
assembly,uttar-pradesh,2022,2022,ACTION PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttar-pradesh,2022,2022,ARJAK ADHIKAR DAL,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttar-pradesh,2022,2022,BHARATIYA SARVJAN VIKAS PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttar-pradesh,2022,2022,BHARTIYA GADAR PARTY (S),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttar-pradesh,2022,2022,SAMAGRA VIKAS PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttar-pradesh,2022,2022,SWADESHI HIND PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttarakhand,2005,2005,UKKD(D),1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,uttarakhand,2007,2007,USP,1,8459,Uttarakhand Sanskriti Parishad,,2004,2007,Uttarakhand,tcpd-state-disambig-contradiction,eci-statreport-2007
assembly,uttarakhand,2009,2009,MLKSC,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,uttarakhand,2009,2009,UK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,uttarakhand,2022,2022,BHARATIYA SAMAJWADI PARTY (LOKTANTRIK),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttarakhand,2022,2022,JAN EKTA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttarakhand,2022,2022,UTTARAKHAND JANATA PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,uttarakhand,2022,2022,UTTARAKHAND JANEKTA PARTY,6,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,west-bengal,1962,1962,GL,4,654,All India Gorkha League,Local Party,1962,1978,Assam,tcpd-state-year-collision,wikipedia-and-press
assembly,west-bengal,1963,1963,COM,1,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,west-bengal,1969,1969,MIL,2,5426,Minorities League,,1972,1972,Andhra_Pradesh,tcpd-state-disambig-contradiction,wikipedia-and-press
assembly,west-bengal,2008,2008,IATC,1,,,,,,,tcpd-placeholder-only,eci-statreport-2008
assembly,west-bengal,2008,2008,MLKSC,1,,,,,,,tcpd-placeholder-only,eci-statreport-2008
assembly,west-bengal,2012,2012,RJSP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2012
assembly,west-bengal,2014,2014,CPI(L),1,,,,,,,tcpd-placeholder-only,eci-statreport-2014
assembly,west-bengal,2014,2014,RJSP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2014
assembly,west-bengal,2021,2021,JSTDVPMTP,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,west-bengal,2026,2026,BGPM,3,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,west-bengal,2026,2026,JLKM,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,west-bengal,2026,2026,JUNP,5,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,west-bengal,2026,2026,RASLJP,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
parliament,andhra-pradesh,1971,1971,MLP,6,14853,MINORITIES LABOUR PARTY,Local Party,1971,1971,All_States,,wikipedia-and-press
parliament,andhra-pradesh,1971,1971,TEC,7,14938,TELANGANA CONGRESS,State-based Party,1971,1971,All_States,,wikipedia-and-press
parliament,andhra-pradesh,1996,1996,SMP,1,12700,Samdarshi Party,Local Party,1991,1991,All_States,tcpd-state-year-collision,eci-statreport-1996
parliament,andhra-pradesh,2015,2015,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2015
parliament,assam,1962,1962,HLC,1,817,ALL PARTY HILL LEADER'S CONFERNCE,Local Party,1962,1983,Meghalaya,,wikipedia-and-press
parliament,assam,1991,1991,PTCA,2,5952,Palin Tribals Councils of Assam,Local Party,1972,1998,All_States,,eci-statreport-1991
parliament,assam,1991,1991,URC,9,13038,United Reservation Movement Council Assam,Local Party,1991,2006,Assam,tcpd-state-year-collision,eci-statreport-1991
parliament,assam,1996,1996,UTNLF,1,13043,United Tribal Nationalists Liberation Front,Local Party,1996,1999,All_States,tcpd-state-year-collision,eci-statreport-1996
parliament,assam,1998,1998,PTCA,1,5952,Palin Tribals Councils of Assam,Local Party,1972,1998,All_States,,eci-statreport-1998
