party_id,body,period_label,state,year,seats,vote_share_pct,contested,party_votes,total_votes,source_ids,derivation
parties.IN.ABHM,assembly,AcGenDec2017,gujarat,2017,0,0.001376,1,413,30018086,src-953e9d223ef8,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2018,rajasthan,2018,0,0.001381,1,490,35483940,src-05c6e01fee51,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2000,bihar,2000,0,0.002059,4,763,37048920,src-3c76417b04b0,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2000,haryana,2000,0,0.002979,1,228,7652560,src-755a37da21a2,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2002,punjab,2002,0,0.000515,1,53,10284686,src-fb26420035f0,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2002,uttar-pradesh,2002,1,0.178097,15,95550,53650610,src-183b4a86ce1d,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2003,himachal-pradesh,2003,0,0.03614,3,1103,3052002,src-7d6399c74294,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2005,bihar,2005,0,0.018792,5,4603,24494763,src-4f2938c732e7,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2005,jharkhand,2005,0,0.004038,2,409,10128820,src-ac56637e266e,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2012,uttar-pradesh,2012,0,0.00857,12,6499,75830976,src-5c0c9c3de1ed,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenFeb2015,delhi,2015,0,0.008933,4,802,8978269,src-14034d356246,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenJan2012,uttarakhand,2012,0,0.012611,1,536,4250314,src-90eb6961f25f,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay1996,haryana,1996,0,0.002297,1,174,7573734,src-1d2f2cd20bea,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay1996,west-bengal,1996,0,0.000484,2,178,36788753,src-b03564ebb111,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2001,tamil-nadu,2001,0,0.002069,2,580,28037314,src-edde438a4885,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2001,west-bengal,2001,0,0.000513,1,188,36626099,src-06ef30dd9958,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2006,tamil-nadu,2006,0,0.011685,11,3855,32991555,src-7b4f21307492,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2008,karnataka,2008,0,0.00887,6,2320,26156305,src-8dcd54ec3033,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2011,tamil-nadu,2011,0,0.024052,11,8862,36845373,src-56c66222c3c2,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2011,west-bengal,2011,0,0.003917,1,1866,47638132,src-0e8c48e664a9,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2013,karnataka,2013,0,0.0011,1,345,31352454,src-4d8c80f8c8fe,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2016,tamil-nadu,2016,0,0.000488,1,211,43205158,src-980ece2fb2f9,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenMay2016,west-bengal,2016,0,0.005084,4,2781,54697791,src-2fbfb9f483a0,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov1998,delhi,1998,0,0.006165,3,252,4087426,src-6c33137ae640,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov1998,madhya-pradesh,1998,0,0.023236,15,6170,26553385,src-9e1d103bc77f,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov1998,rajasthan,1998,0,0.007406,2,1395,18834911,src-ee56712946b8,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2003,madhya-pradesh,2003,0,0.008455,6,2156,25500290,src-6e6cad8b2a5a,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2005,bihar,2005,0,0.021802,5,5135,23553000,src-4f2938c732e7,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2007,himachal-pradesh,2007,0,0.015339,1,505,3292272,src-7fbafbbf1777,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2008,chhattisgarh,2008,0,0.005314,1,571,10745187,src-9cb115100603,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2008,delhi,2008,0,0.047152,11,2912,6175712,src-8412f0292338,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2008,madhya-pradesh,2008,0,0.002081,3,525,25223132,src-f1c44ad28edb,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2010,bihar,2010,0,0.008579,3,2493,29058604,src-e303c6d8e9fb,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2013,madhya-pradesh,2013,0,0.0021,1,711,33852504,src-599f7493d18f,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2015,bihar,2015,0,0.032182,13,12268,38120124,src-cfea7c9e8ffd,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2018,chhattisgarh,2018,0,0.003845,3,549,14276991,src-7433352a7424,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenNov2018,madhya-pradesh,2018,0,0.00692,5,2639,38138186,src-549efa82d0e1,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenOct1999,maharashtra,1999,0,0.013364,5,4391,32856693,src-4f1bf04ee531,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenOct2004,maharashtra,2004,0,0.035654,18,14914,41829645,src-071f67ad16c1,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenOct2009,maharashtra,2009,0,0.015964,11,7229,45284495,src-5b2670ea594e,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenOct2014,maharashtra,2014,0,0.010017,9,5299,52901326,src-02161604057c,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenOct2019,maharashtra,2019,0,0.009741,7,5372,55149929,src-558e9e7bac87,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenSep1996,uttar-pradesh,1996,0,0.003898,6,2161,55438666,src-acb75d0ef1ff,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenSep1999,karnataka,1999,0,0.001138,1,253,22225499,src-1a69f6c8f902,computed_from_canonical_electoral_rows
parties.IN.ABHM,parliament,LsGenFeb1998,bihar,1998,0,0.004864,2,1818,37374416,src-7e1f7d152977,computed_from_canonical_electoral_rows
parties.IN.ABHM,parliament,LsGenFeb1998,haryana,1998,0,0.00564,1,426,7552804,src-7e1f7d152977,computed_from_canonical_electoral_rows
parties.IN.ABHM,parliament,LsGenFeb1998,karnataka,1998,0,0.007487,1,1580,21102670,src-7e1f7d152977,computed_from_canonical_electoral_rows
parties.IN.ABHM,parliament,LsGenFeb1998,madhya-pradesh,1998,0,0.009955,3,2681,26930007,src-7e1f7d152977,computed_from_canonical_electoral_rows
