party_id,body,rank,entity_id,constituency_name,state,wins,contested,last_won_year,results,source_ids,derivation
parties.IN.AIFB,assembly,3,IN-S25-AC-1976-191,DHANIAKHALI,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,4,IN-S25-AC-1976-236,ARSA,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,5,IN-S25-AC-1976-252,ONDA,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,6,IN-S25-AC-1976-269,GALSI,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,7,IN-S25-AC-1976-286,DUBRAJPUR,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,8,IN-S25-AC-1976-287,RAJNAGAR,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,9,IN-S25-AC-1976-293,NALHATI,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,10,IN-S25-AC-1976-5,COOCH BEHAR WEST,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,parliament,1,IN-PC-1976-S25-1,COOCH BEHAR,west-bengal,2,2,2004,WW,src-6e952de88bcd|src-84efcb6e2cc4,computed_from_canonical_winner_rows
parties.IN.AIFB,parliament,2,IN-PC-1976-S25-34,PERULIA,west-bengal,2,2,2004,WW,src-6e952de88bcd|src-84efcb6e2cc4,computed_from_canonical_winner_rows
parties.IN.AIFB,parliament,3,IN-PC-1976-S25-13,BARASAT,west-bengal,1,2,2004,LW,src-6e952de88bcd|src-84efcb6e2cc4,computed_from_canonical_winner_rows
parties.IN.AIFB,parliament,4,IN-PC-2008-S25-1,Coochbehar,west-bengal,1,4,2009,WLLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIFB,parliament,5,IN-PC-2008-S25-35,Purulia,west-bengal,1,4,2009,WLLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
