33 - CONSTITUENCY WISE DETAILED RESULT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Votes Secured,,,% of Votes Secured,,,,,,
State Name,PC Name,Candidate Name,Gender,Age,Category,Party Name,Party Symbol,"Total Votes Polled In
The Constituency",Valid Votes,General,Postal,Total,Over Total Electors In Constituency,Over Total Votes Polled In Constituency,Over Total Valid Votes Polled In Constituency,Total Electors,,,
Jharkhand,Lohardaga,ARPAN DEO BHAGAT,MALE,34,ST,IND,Scissors,971662,955741,2796,18,2814,0.19,0.29,0.29,1448225,,,
Jharkhand,Lohardaga,ARJUN TOPPO,MALE,47,ST,IND,Kettle,971662,955741,2706,41,2747,0.19,0.28,0.29,1448225,,,
Jharkhand,Lohardaga,MANI MUNDA,MALE,59,ST,BGDRPP,Air conditioner,971662,955741,2490,20,2510,0.17,0.26,0.26,1448225,,,
Jharkhand,Palamu,VISHNU DAYAL RAM,MALE,72,SC,BJP,Lotus,1392035,1366395,762290,8072,770362,34.27,55.34,56.38,2248082,,,
Jharkhand,Palamu,MAMTA BHUIYAN,FEMALE,34,SC,RJD,Hurricane lamp,1392035,1366395,473668,7887,481555,21.42,34.59,35.24,2248082,,,
Jharkhand,Palamu,KAMESHWAR BAITHA,MALE,67,SC,BSP,Elephant,1392035,1366395,39267,733,40000,1.78,2.87,2.93,2248082,,,
Jharkhand,Palamu,NOTA,,,,NOTA,NOTA,1392035,1366395,24226,117,24343,1.08,1.75,1.78,2248082,,,
Jharkhand,Palamu,SANAN RAM,MALE,64,SC,LKHAP,Apple,1392035,1366395,17849,26,17875,0.8,1.28,1.31,2248082,,,
Jharkhand,Palamu,GANESH RAVI,MALE,53,SC,IND,Kettle,1392035,1366395,17669,30,17699,0.79,1.27,1.3,2248082,,,
Jharkhand,Palamu,BRAJESH KUMAR TURI,MALE,29,SC,RSMD,Scissors,1392035,1366395,17542,24,17566,0.78,1.26,1.29,2248082,,,
Jharkhand,Palamu,VRINDA RAM,MALE,51,SC,PPID,Basket containing Fruits,1392035,1366395,11205,65,11270,0.5,0.81,0.82,2248082,,,
Jharkhand,Palamu,MAHENDRA BAITHA,MALE,65,SC,SUCI,Battery Torch,1392035,1366395,5097,18,5115,0.23,0.37,0.37,2248082,,,
Jharkhand,Palamu,RAM VACHAN RAM,MALE,47,SC,BMUP,Cot,1392035,1366395,4924,29,4953,0.22,0.36,0.36,2248082,,,
Jharkhand,Hazaribagh,MANISH JAISWAL,MALE,59,GENERAL,BJP,Lotus,1265455,1257467,647416,7197,654613,33.69,51.73,52.06,1942771,,,
Jharkhand,Hazaribagh,JAI PRAKASH BHAI PATEL,MALE,40,GENERAL,INC,Hand,1265455,1257467,371641,6286,377927,19.45,29.86,30.05,1942771,,,
Jharkhand,Hazaribagh,SANJAY KUMAR MEHTA,MALE,30,GENERAL,IND,Helmet,1265455,1257467,156298,1679,157977,8.13,12.48,12.56,1942771,,,
Jharkhand,Hazaribagh,SHASHI BHUSHAN KESHRI,MALE,30,GENERAL,IND,Balloon,1265455,1257467,15373,13,15386,0.79,1.22,1.22,1942771,,,
Jharkhand,Hazaribagh,ANIRUDDH KUMAR,MALE,50,GENERAL,CPI,Ears of corn and sickle,1265455,1257467,10428,40,10468,0.54,0.83,0.83,1942771,,,
Jharkhand,Hazaribagh,MD. MOIN UDDIN AHMAD,MALE,46,GENERAL,BSP,Elephant,1265455,1257467,7395,43,7438,0.38,0.59,0.59,1942771,,,
Jharkhand,Hazaribagh,NOTA,,,,NOTA,NOTA,1265455,1257467,7090,110,7200,0.37,0.57,0.57,1942771,,,
Jharkhand,Hazaribagh,MD. SERAJ,MALE,47,GENERAL,IND,Bat,1265455,1257467,5503,3,5506,0.28,0.44,0.44,1942771,,,
Jharkhand,Hazaribagh,VINOD KUMAR RANA,MALE,42,GENERAL,IND,Baby walker,1265455,1257467,4831,10,4841,0.25,0.38,0.38,1942771,,,
Jharkhand,Hazaribagh,KUNJ BIHARI KUMAR,MALE,47,GENERAL,LKHAP,Apple,1265455,1257467,4220,14,4234,0.22,0.33,0.34,1942771,,,
Jharkhand,Hazaribagh,CHHATHI DEVI,FEMALE,46,SC,AKBRPRVP,Kettle,1265455,1257467,3296,20,3316,0.17,0.26,0.26,1942771,,,
Jharkhand,Hazaribagh,ABHISHEK KUMAR,MALE,37,GENERAL,IND,Auto- rickshaw,1265455,1257467,2963,9,2972,0.15,0.23,0.24,1942771,,,
Jharkhand,Hazaribagh,NISHANT KUMAR SINHA,MALE,55,GENERAL,PPID,Basket containing Fruits,1265455,1257467,2932,24,2956,0.15,0.23,0.24,1942771,,,
Jharkhand,Hazaribagh,MANOJ KUMAR BEDIA,MALE,40,ST,IND,Hockey and ball,1265455,1257467,2559,19,2578,0.13,0.2,0.21,1942771,,,
Jharkhand,Hazaribagh,BHUNESHWAR BEDIYA,MALE,46,ST,SAP,Battery Torch,1265455,1257467,2236,28,2264,0.12,0.18,0.18,1942771,,,
Jharkhand,Hazaribagh,RAJ KUMAR,MALE,45,GENERAL,JKP,Air conditioner,1265455,1257467,1885,50,1935,0.1,0.15,0.15,1942771,,,
Jharkhand,Hazaribagh,SHYAM BIHARI PRAJAPATI,MALE,54,GENERAL,BGDRPP,Almirah,1265455,1257467,1818,21,1839,0.09,0.15,0.15,1942771,,,
Jharkhand,Hazaribagh,PRAKASH SONI,MALE,39,GENERAL,BHAZS,Flute,1265455,1257467,1209,8,1217,0.06,0.1,0.1,1942771,,,
Uttarakhand,Tehri Garhwal,MALA RAJYA LAKSHMI SHAH,FEMALE,73,GENERAL,BJP,Lotus,866774,854583,455949,6654,462603,29.08,53.37,54.13,1590526,,,
Uttarakhand,Tehri Garhwal,JOT SINGH GUNSOLA,MALE,70,GENERAL,INC,Hand,866774,854583,187602,2508,190110,11.95,21.93,22.25,1590526,,,
Uttarakhand,Tehri Garhwal,BOBY PANWAR,MALE,26,ST,IND,Diamond,866774,854583,162469,5612,168081,10.57,19.39,19.67,1590526,,,
Uttarakhand,Tehri Garhwal,NAVNEET SINGH GOSAIN,MALE,54,GENERAL,raup,Cauliflower,866774,854583,9969,57,10026,0.63,1.16,1.17,1590526,,,
Uttarakhand,Tehri Garhwal,NOTA,,,,NOTA,NOTA,866774,854583,7304,154,7458,0.47,0.86,0.87,1590526,,,
Uttarakhand,Tehri Garhwal,NEMCHAND,MALE,53,SC,BSP,Elephant,866774,854583,6786,122,6908,0.43,0.8,0.81,1590526,,,
Uttarakhand,Tehri Garhwal,BRIJ BHUSHAN KARANWAL,MALE,46,SC,BRED,Camera,866774,854583,3545,25,3570,0.22,0.41,0.42,1590526,,,
Uttarakhand,Tehri Garhwal,SARDAR KHAN PAPPU,MALE,62,GENERAL,IND,Truck,866774,854583,3268,7,3275,0.21,0.38,0.38,1590526,,,
Uttarakhand,Tehri Garhwal,VEPIN KUMAR AGGARWAL,MALE,60,GENERAL,IND,Gas cylinder,866774,854583,3173,43,3216,0.2,0.37,0.38,1590526,,,
Uttarakhand,Tehri Garhwal,RAMPAL SINGH,MALE,66,SC,PPID,Basket containing Fruits,866774,854583,2343,19,2362,0.15,0.27,0.28,1590526,,,
Uttarakhand,Tehri Garhwal,SUDESH TOMAR,MALE,43,ST,IND,Air conditioner,866774,854583,2261,7,2268,0.14,0.26,0.27,1590526,,,
Uttarakhand,Tehri Garhwal,PREM DUTT SEMWAL,MALE,50,GENERAL,IND,Pan,866774,854583,2134,30,2164,0.14,0.25,0.25,1590526,,,
Uttarakhand,Garhwal,ANIL BALUNI,MALE,53,GENERAL,BJP,Lotus,746210,726056,418531,13628,432159,30.78,57.91,59.52,1404233,,,
Uttarakhand,Garhwal,GANESH GODIYAL,MALE,58,GENERAL,INC,Hand,746210,726056,262692,5964,268656,19.13,36,37,1404233,,,
Uttarakhand,Garhwal,NOTA,,,,NOTA,NOTA,746210,726056,11224,151,11375,0.81,1.52,1.57,1404233,,,
Uttarakhand,Garhwal,SONU KUMAR,MALE,33,SC,IND,Laptop,746210,726056,4803,19,4822,0.34,0.65,0.66,1404233,,,
Uttarakhand,Garhwal,ASHUTOSH SINGH,MALE,50,GENERAL,UKKD,Diamond,746210,726056,4182,379,4561,0.32,0.61,0.63,1404233,,,
Uttarakhand,Garhwal,DHEER SINGH,MALE,62,GENERAL,BSP,Elephant,746210,726056,4007,115,4122,0.29,0.55,0.57,1404233,,,
Uttarakhand,Garhwal,MUKESH PRAKASH,MALE,40,GENERAL,IND,Pen nib with seven rays,746210,726056,3064,15,3079,0.22,0.41,0.42,1404233,,,
Uttarakhand,Garhwal,DEEPENDRA SINGH NEGI,MALE,47,GENERAL,IND,Bat,746210,726056,1408,232,1640,0.12,0.22,0.23,1404233,,,
Uttarakhand,Garhwal,SURESHI DEVI,FEMALE,50,SC,PPID,Basket,746210,726056,1472,40,1512,0.11,0.2,0.21,1404233,,,
Uttarakhand,Garhwal,ARJUN SINGH,MALE,61,GENERAL,AKBRPRVP,Kettle,746210,726056,1308,70,1378,0.1,0.18,0.19,1404233,,,
Uttarakhand,Garhwal,RESHMA PANWAR,FEMALE,31,GENERAL,SUCI,Battery Torch,746210,726056,1168,125,1293,0.09,0.17,0.18,1404233,,,
Uttarakhand,Garhwal,DR MUKESH PANT,MALE,57,GENERAL,SaSP,Ganna kisan,746210,726056,1121,58,1179,0.08,0.16,0.16,1404233,,,
Uttarakhand,Garhwal,VINOD KUMAR SHARMA,MALE,67,GENERAL,UTRASMNTP,Letter box,746210,726056,838,46,884,0.06,0.12,0.12,1404233,,,
Uttarakhand,Garhwal,SHYAMLAL,MALE,69,GENERAL,BMUP,Cot,746210,726056,743,28,771,0.05,0.1,0.11,1404233,,,
Uttarakhand,Almora,AJAY TAMTA,MALE,51,SC,BJP,Lotus,675014,651478,417535,11632,429167,31.36,63.58,65.88,1368432,,,
Uttarakhand,Almora,PRADEEP TAMTA,MALE,65,SC,INC,Hand,675014,651478,191642,3428,195070,14.26,28.9,29.94,1368432,,,
Uttarakhand,Almora,NOTA,,,,NOTA,NOTA,675014,651478,16697,322,17019,1.24,2.52,2.61,1368432,,,
Uttarakhand,Almora,NARAYAN RAM,MALE,64,SC,BSP,Elephant,675014,651478,9840,235,10075,0.74,1.49,1.55,1368432,,,
Uttarakhand,Almora,KIRAN ARYA,FEMALE,36,SC,UPP,Scissors,675014,651478,5528,250,5778,0.42,0.86,0.89,1368432,,,
Uttarakhand,Almora,ARJUN PRASAD,MALE,52,SC,IND,Ganna kisan,675014,651478,4591,116,4707,0.34,0.7,0.72,1368432,,,
Uttarakhand,Almora,DR PRAMOD KUMAR,MALE,48,SC,PPID,Basket containing Fruits,675014,651478,4401,56,4457,0.33,0.66,0.68,1368432,,,
Uttarakhand,Almora,ER JYOTI PRAKASH TAMTA,MALE,70,SC,BMUP,Cot,675014,651478,2178,46,2224,0.16,0.33,0.34,1368432,,,
Uttarakhand,Nainital-Udhamsingh Nagar,AJAY BHATT,MALE,64,GENERAL,BJP,Lotus,1271666,1255585,766397,6274,772671,38.13,60.76,61.54,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,PRAKASH JOSHI,MALE,54,GENERAL,INC,Hand,1271666,1255585,434916,3207,438123,21.62,34.45,34.89,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,AKHTAR ALI,MALE,55,GENERAL,BSP,Elephant,1271666,1255585,23276,179,23455,1.16,1.84,1.87,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,NOTA,,,,NOTA,NOTA,1271666,1255585,10233,198,10431,0.51,0.82,0.83,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,AKHALESH KUMAR,MALE,41,SC,AKBRPRVP,Kettle,1271666,1255585,4871,31,4902,0.24,0.39,0.39,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,HITESH PATHAK,MALE,32,GENERAL,IND,Bucket,1271666,1255585,4282,28,4310,0.21,0.34,0.34,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,RAMESH KUMAR MAX,MALE,35,SC,IND,Petrol pump,1271666,1255585,3270,29,3299,0.16,0.26,0.26,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,AMAR SINGH SAINI,MALE,59,GENERAL,PPID,Basket containing Fruits,1271666,1255585,2963,24,2987,0.15,0.23,0.24,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,JEEVAN CHANDRA UPRETI,MALE,70,GENERAL,BKLJP,Glass tumbler,1271666,1255585,2292,18,2310,0.11,0.18,0.18,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,SHIB SINGH,MALE,59,GENERAL,UKKD,Walking stick,1271666,1255585,1809,46,1855,0.09,0.15,0.15,2026438,,,
Uttarakhand,Nainital-Udhamsingh Nagar,SURENDRA SINGH,MALE,49,GENERAL,BSCP,Flute,1271666,1255585,1655,18,1673,0.08,0.13,0.13,2026438,,,
Uttarakhand,Haridwar,TRIVENDRA SINGH RAWAT,MALE,63,GENERAL,BJP,Lotus,1304517,1295795,648498,5310,653808,32.03,50.12,50.46,2041472,,,
Uttarakhand,Haridwar,VIRENDRA RAWAT,MALE,48,GENERAL,INC,Hand,1304517,1295795,487406,2346,489752,23.99,37.54,37.8,2041472,,,
Uttarakhand,Haridwar,UMESH KUMAR PATRAKAR,MALE,46,GENERAL,IND,Kettle,1304517,1295795,89991,1230,91221,4.47,6.99,7.04,2041472,,,
Uttarakhand,Haridwar,JAMIL AHMAD,MALE,62,GENERAL,BSP,Elephant,1304517,1295795,42116,207,42323,2.07,3.24,3.27,2041472,,,
Uttarakhand,Haridwar,NOTA,,,,NOTA,NOTA,1304517,1295795,6665,163,6828,0.33,0.52,0.53,2041472,,,
Uttarakhand,Haridwar,BALBIR SINGH BHANDARI,MALE,64,GENERAL,UTRASMNTP,Letter box,1304517,1295795,2943,18,2961,0.15,0.23,0.23,2041472,,,
Uttarakhand,Haridwar,MOHAN SINGH ASWAL,MALE,52,GENERAL,UKKD,Ice cream,1304517,1295795,2809,45,2854,0.14,0.22,0.22,2041472,,,
Uttarakhand,Haridwar,VIJAY KUMAR,MALE,55,GENERAL,IND,Apple,1304517,1295795,2407,1,2408,0.12,0.18,0.19,2041472,,,
Uttarakhand,Haridwar,PAWAN KASHYAP,MALE,32,GENERAL,IND,Boat with man and sail,1304517,1295795,2170,8,2178,0.11,0.17,0.17,2041472,,,
Uttarakhand,Haridwar,KARAN SINGH SAINI ENGINEER,MALE,66,GENERAL,IND,Nagrik,1304517,1295795,1963,11,1974,0.1,0.15,0.15,2041472,,,
Uttarakhand,Haridwar,AKRAM HUSSAIN,MALE,51,GENERAL,IND,Coat,1304517,1295795,1678,7,1685,0.08,0.13,0.13,2041472,,,
Uttarakhand,Haridwar,LALIT KUMAR,MALE,36,SC,PPID,School bag,1304517,1295795,1396,14,1410,0.07,0.11,0.11,2041472,,,
Uttarakhand,Haridwar,SURESH PAL,MALE,49,GENERAL,BRED,Camera,1304517,1295795,1150,12,1162,0.06,0.09,0.09,2041472,,,
Uttarakhand,Haridwar,ASHISH DHYANI,MALE,36,GENERAL,IND,Air conditioner,1304517,1295795,1074,10,1084,0.05,0.08,0.08,2041472,,,
Uttarakhand,Haridwar,AVNISH KUMAR,MALE,25,SC,IND,Almirah,1304517,1295795,967,8,975,0.05,0.07,0.08,2041472,,,
Telangana,Adilabad,GODAM NAGESH,MALE,59,ST,BJP,Lotus,1238318,1223835,558936,9232,568168,34.38,45.88,46.43,1652394,,,
Telangana,Adilabad,ATHRAM SUGUNA,FEMALE,49,ST,INC,Hand,1238318,1223835,472333,5183,477516,28.9,38.56,39.02,1652394,,,
Telangana,Adilabad,ATHRAM SAKKU,MALE,51,ST,BHRS,Car,1238318,1223835,136463,837,137300,8.31,11.09,11.22,1652394,,,
Telangana,Adilabad,NOTA,,,,NOTA,NOTA,1238318,1223835,11650,112,11762,0.71,0.95,0.96,1652394,,,
Telangana,Adilabad,MALOTHU SYAMLAL NAYAK,MALE,35,ST,AODRP,Chapati roller,1238318,1223835,7489,10,7499,0.45,0.61,0.61,1652394,,,
Telangana,Adilabad,MESRAM JANGUBAPU,MALE,34,ST,BSP,Elephant,1238318,1223835,6689,55,6744,0.41,0.54,0.55,1652394,,,
Telangana,Adilabad,RATHOD SUBASH,MALE,40,ST,IND,Gas cylinder,1238318,1223835,6434,94,6528,0.4,0.53,0.53,1652394,,,
Telangana,Adilabad,BUKYA JAIVANTH RAO,MALE,36,ST,IND,Pressure cooker,1238318,1223835,6427,19,6446,0.39,0.52,0.53,1652394,,,
Telangana,Adilabad,CHAVAN SUDHARSHAN,MALE,45,ST,AYSRCP,Road roller,1238318,1223835,4618,26,4644,0.28,0.38,0.38,1652394,,,
Telangana,Adilabad,GANGADEVI MESRAM,FEMALE,43,ST,DHRMSMJP,Chappals,1238318,1223835,3445,23,3468,0.21,0.28,0.28,1652394,,,
Telangana,Adilabad,N. TIRUPATI,MALE,35,ST,VTRP,Bat,1238318,1223835,2284,8,2292,0.14,0.19,0.19,1652394,,,
Telangana,Adilabad,KODAPA VAMAN RAO,MALE,40,ST,GNDWDKP,Man blowing turha,1238318,1223835,1677,8,1685,0.1,0.14,0.14,1652394,,,
Telangana,Adilabad,GEDAM. SAGAR,MALE,35,ST,IPBP,Trumpet,1238318,1223835,1537,8,1545,0.09,0.12,0.13,1652394,,,
Telangana,Peddapalle,VAMSI KRISHNA GADDAM,MALE,35,SC,INC,Hand,1096672,1089584,470180,5407,475587,29.76,43.37,43.65,1597892,,,
Telangana,Peddapalle,SRINIVAS GOMASE,MALE,56,SC,BJP,Lotus,1096672,1089584,339107,5116,344223,21.54,31.39,31.59,1597892,,,
Telangana,Peddapalle,ESHWAR KOPPULA,MALE,64,SC,BHRS,Car,1096672,1089584,191891,1465,193356,12.1,17.63,17.75,1597892,,,
Telangana,Peddapalle,ERUKULLA RAJANARSAIAH,MALE,62,SC,BSP,Elephant,1096672,1089584,6730,69,6799,0.43,0.62,0.62,1597892,,,
Telangana,Peddapalle,NOTA,,,,NOTA,NOTA,1096672,1089584,5591,120,5711,0.36,0.52,0.52,1597892,,,
Telangana,Peddapalle,MOYYI VENUGOPAL,MALE,54,SC,BMUP,Cot,1096672,1089584,5220,3,5223,0.33,0.48,0.48,1597892,,,
Telangana,Peddapalle,MOTHE NARESH,MALE,32,SC,PPID,Basket containing Fruits,1096672,1089584,4998,9,5007,0.31,0.46,0.46,1597892,,,
Telangana,Peddapalle,RAMESH MANDA,MALE,40,SC,DHRMSMJP,Chappals,1096672,1089584,4314,20,4334,0.27,0.4,0.4,1597892,,,
Telangana,Peddapalle,A SUMALATHA,FEMALE,39,SC,AODRP,Chapati roller,1096672,1089584,3770,13,3783,0.24,0.34,0.35,1597892,,,
Telangana,Peddapalle,DURGAM RAMULU,MALE,43,SC,IND,Sewing machine,1096672,1089584,3432,2,3434,0.21,0.31,0.32,1597892,,,
Telangana,Peddapalle,MULKALLA RAJENDRA PRASAD,MALE,38,SC,IND,Diamond,1096672,1089584,2786,3,2789,0.17,0.25,0.26,1597892,,,
Telangana,Peddapalle,RAMCHANDAR NICHAKOLA,MALE,47,SC,DABAP,Glass tumbler,1096672,1089584,2589,40,2629,0.16,0.24,0.24,1597892,,,
Telangana,Peddapalle,KANDI CHANDHU,MALE,45,SC,RSHTMNVP,Nagrik,1096672,1089584,2409,1,2410,0.15,0.22,0.22,1597892,,,
Telangana,Peddapalle,RAMULA KARTHIK,MALE,28,SC,IND,Road roller,1096672,1089584,2284,4,2288,0.14,0.21,0.21,1597892,,,
Telangana,Peddapalle,MOLUGU VENKATESH,MALE,40,SC,NIP,Baby walker,1096672,1089584,2234,35,2269,0.14,0.21,0.21,1597892,,,
Telangana,Peddapalle,ERUGURALA BHAGYALAXMI,FEMALE,32,SC,PPOI,Flute,1096672,1089584,2113,12,2125,0.13,0.19,0.2,1597892,,,
Telangana,Peddapalle,GADDAM MARUTI,MALE,41,SC,IND,Box,1096672,1089584,2073,8,2081,0.13,0.19,0.19,1597892,,,
Telangana,Peddapalle,NAVEEN NUKALA,MALE,28,SC,IND,Bat,1096672,1089584,2057,10,2067,0.13,0.19,0.19,1597892,,,
Telangana,Peddapalle,AKSHAY KUMAR MEKALA,MALE,29,SC,IND,Camera,1096672,1089584,1899,3,1902,0.12,0.17,0.17,1597892,,,
Telangana,Peddapalle,K SANDEEP,MALE,34,SC,IND,Bangles,1096672,1089584,1867,5,1872,0.12,0.17,0.17,1597892,,,
Telangana,Peddapalle,BOTLA CHANDRAIAH,MALE,61,SC,IND,CCTV Camera,1096672,1089584,1744,3,1747,0.11,0.16,0.16,1597892,,,
Telangana,Peddapalle,ERIKILLA RAJESH,MALE,36,SC,IND,Balloon,1096672,1089584,1731,3,1734,0.11,0.16,0.16,1597892,,,
Telangana,Peddapalle,AKKAPAKA THIRUPATHI,MALE,51,SC,IND,Whistle,1096672,1089584,1662,7,1669,0.1,0.15,0.15,1597892,,,
Telangana,Peddapalle,DURGAM SANTHOSH,MALE,31,SC,PS,Almirah,1096672,1089584,1576,38,1614,0.1,0.15,0.15,1597892,,,
Telangana,Peddapalle,MAMIDIPELLY BAPAIAH,MALE,67,SC,IND,Ring,1096672,1089584,1501,3,1504,0.09,0.14,0.14,1597892,,,
Telangana,Peddapalle,DUDA MAHIPAL,MALE,32,SC,IND,Carrom board,1096672,1089584,1495,1,1496,0.09,0.14,0.14,1597892,,,
Telangana,Peddapalle,BOODIDHA THIRUPATHI,MALE,44,SC,IND,Bicycle pump,1096672,1089584,1392,1,1393,0.09,0.13,0.13,1597892,,,
Telangana,Peddapalle,DAGAM SRINIVAS,MALE,44,SC,IND,Television,1096672,1089584,1384,4,1388,0.09,0.13,0.13,1597892,,,
Telangana,Peddapalle,KADASI SHEKHAR,MALE,42,SC,IND,Ship,1096672,1089584,1266,6,1272,0.08,0.12,0.12,1597892,,,
Telangana,Peddapalle,PROFESSOR NATHANIEL,MALE,54,SC,IND,Bucket,1096672,1089584,1195,22,1217,0.08,0.11,0.11,1597892,,,
Telangana,Peddapalle,AARNAKONDA RAJU,MALE,32,SC,IND,Scissors,1096672,1089584,1160,7,1167,0.07,0.11,0.11,1597892,,,
Telangana,Peddapalle,JANAGAMA NARESH,MALE,43,SC,IND,Bench,1096672,1089584,1117,6,1123,0.07,0.1,0.1,1597892,,,
Telangana,Peddapalle,CHILUKA ANAND,MALE,38,SC,YVTRP,Gas cylinder,1096672,1089584,1089,4,1093,0.07,0.1,0.1,1597892,,,
Telangana,Peddapalle,TALLAPALLY NARESH,MALE,33,SC,IND,Mike,1096672,1089584,967,1,968,0.06,0.09,0.09,1597892,,,
Telangana,Peddapalle,KURMA MAHENDER,MALE,27,SC,IND,Gas Stove,1096672,1089584,863,2,865,0.05,0.08,0.08,1597892,,,
Telangana,Peddapalle,CHANDANAGIRI SRINIVAS,MALE,35,SC,IND,Bead necklace,1096672,1089584,766,0,766,0.05,0.07,0.07,1597892,,,
Telangana,Peddapalle,KASHI SATHISH KUMAR,MALE,42,SC,ACDP,Jackfruit,1096672,1089584,745,6,751,0.05,0.07,0.07,1597892,,,
Telangana,Peddapalle,KANAKAIAH MULKALA,MALE,52,SC,SP(I),Battery Torch,1096672,1089584,709,11,720,0.05,0.07,0.07,1597892,,,
Telangana,Peddapalle,SRINIVAS PANTHUKALA,MALE,48,SC,IND,Biscuit,1096672,1089584,701,2,703,0.04,0.06,0.06,1597892,,,
Telangana,Peddapalle,LINGAMURTHI KONKATI,MALE,52,SC,IND,Batsman,1096672,1089584,659,2,661,0.04,0.06,0.06,1597892,,,
Telangana,Peddapalle,JUPAKA KIRAN,MALE,38,SC,IND,Belt,1096672,1089584,649,4,653,0.04,0.06,0.06,1597892,,,
Telangana,Peddapalle,DURGAM RAJANNA,MALE,31,SC,IND,Binoculars,1096672,1089584,478,1,479,0.03,0.04,0.04,1597892,,,
Telangana,Peddapalle,RAJESHAM RACHARLA,MALE,46,SC,IND,Black board,1096672,1089584,422,1,423,0.03,0.04,0.04,1597892,,,
Telangana,Karimnagar,BANDI SANJAY KUMAR,MALE,52,GENERAL,BJP,Lotus,1314574,1307414,578827,6289,585116,32.54,44.51,44.75,1798168,,,
Telangana,Karimnagar,VELCHALA RAJENDER RAO,MALE,62,GENERAL,INC,Hand,1314574,1307414,357446,2461,359907,20.02,27.38,27.53,1798168,,,
Telangana,Karimnagar,VINOD KUMAR BOIANAPALLI,MALE,64,GENERAL,BHRS,Car,1314574,1307414,280867,1296,282163,15.69,21.46,21.58,1798168,,,
Telangana,Karimnagar,ABBADI BUCHI REDDY,MALE,54,GENERAL,IND,Road roller,1314574,1307414,11602,10,11612,0.65,0.88,0.89,1798168,,,
Telangana,Karimnagar,ARUNA THALLAPALLY,FEMALE,39,GENERAL,AODRP,Chapati roller,1314574,1307414,9043,21,9064,0.5,0.69,0.69,1798168,,,
Telangana,Karimnagar,KOTA SHYAM KUMAR,MALE,37,GENERAL,IND,Camera,1314574,1307414,8744,12,8756,0.49,0.67,0.67,1798168,,,
Telangana,Karimnagar,ANOSE KATKOORI,MALE,32,SC,IND,Diamond,1314574,1307414,8699,7,8706,0.48,0.66,0.67,1798168,,,
Telangana,Karimnagar,MAREPALLI MOGILAIAH,MALE,67,SC,BSP,Elephant,1314574,1307414,8010,99,8109,0.45,0.62,0.62,1798168,,,
Telangana,Karimnagar,NOTA,,,,NOTA,NOTA,1314574,1307414,5373,65,5438,0.3,0.41,0.42,1798168,,,
Telangana,Karimnagar,RAJENDER POTHURI,MALE,32,SC,IND,Glass tumbler,1314574,1307414,3250,7,3257,0.18,0.25,0.25,1798168,,,
Telangana,Karimnagar,SRAVAN PEDDAPELLY,MALE,33,GENERAL,BYKD,Switchboard,1314574,1307414,3068,6,3074,0.17,0.23,0.24,1798168,,,
Telangana,Karimnagar,GADDA SATHISH,MALE,33,GENERAL,IND,Dolli,1314574,1307414,2936,9,2945,0.16,0.22,0.23,1798168,,,
Telangana,Karimnagar,ANILREDDY KADTHALA,MALE,30,GENERAL,NNKP,Hand cart,1314574,1307414,2747,7,2754,0.15,0.21,0.21,1798168,,,
Telangana,Karimnagar,CHILUVERU SRIKANTH,MALE,32,SC,DHRMSMJP,Chappals,1314574,1307414,2553,33,2586,0.14,0.2,0.2,1798168,,,
Telangana,Karimnagar,AKSHAY KUMAR MEKALA,MALE,29,SC,IND,Table,1314574,1307414,2219,5,2224,0.12,0.17,0.17,1798168,,,
Telangana,Karimnagar,JOURNALIST VIKRAM REDDY VEMULAA,MALE,30,GENERAL,IND,Cauliflower,1314574,1307414,2090,6,2096,0.12,0.16,0.16,1798168,,,
Telangana,Karimnagar,ASHOK PANCHIKA,MALE,31,GENERAL,SJPI,Nagrik,1314574,1307414,1914,10,1924,0.11,0.15,0.15,1798168,,,
Telangana,Karimnagar,GAVVALA LAXMI,FEMALE,40,SC,IND,Gas cylinder,1314574,1307414,1738,6,1744,0.1,0.13,0.13,1798168,,,
Telangana,Karimnagar,GATTAIAH YADAV BARIGE,MALE,49,GENERAL,IND,Gas Stove,1314574,1307414,1688,6,1694,0.09,0.13,0.13,1798168,,,
Telangana,Karimnagar,RANAPRATAP GATTU,MALE,29,GENERAL,SP(I),Ganna kisan,1314574,1307414,1606,7,1613,0.09,0.12,0.12,1798168,,,
Telangana,Karimnagar,GUDISHE MOHAN,MALE,43,SC,IND,Computer,1314574,1307414,1471,3,1474,0.08,0.11,0.11,1798168,,,
Telangana,Karimnagar,MANASA PERALA,FEMALE,25,GENERAL,IND,Laptop,1314574,1307414,1106,19,1125,0.06,0.09,0.09,1798168,,,
Telangana,Karimnagar,PODISHETTI SAMMAIAH,MALE,45,SC,BMUP,Cot,1314574,1307414,994,0,994,0.06,0.08,0.08,1798168,,,
