state_slug,pc_name_normalized,tcpd_reservation,eci_2024_derived_reservation,agreement
madhya-pradesh,mandla,ST,ST,AGREE
madhya-pradesh,mandsour,GEN,GEN,AGREE
madhya-pradesh,morena,GEN,GEN,AGREE
madhya-pradesh,rajgarh,GEN,GEN,AGREE
madhya-pradesh,ratlam,ST,ST,AGREE
madhya-pradesh,ratlam(st) jhabua,ST,,TCPD_ONLY
madhya-pradesh,rewa,GEN,GEN,AGREE
madhya-pradesh,sagar,GEN,GEN,AGREE
madhya-pradesh,satna,GEN,GEN,AGREE
madhya-pradesh,shahdol,ST,ST,AGREE
madhya-pradesh,"shahdol(st) , district, anooppur",ST,,TCPD_ONLY
madhya-pradesh,sidhi,GEN,GEN,AGREE
madhya-pradesh,tikamgarh,SC,SC,AGREE
madhya-pradesh,ujjain,SC,SC,AGREE
madhya-pradesh,vidisha,GEN,GEN,AGREE
maharashtra,ahmadnagar,GEN,,TCPD_ONLY
maharashtra,ahmednagar,,GEN,ECI_ONLY
maharashtra,akola,GEN,GEN,AGREE
maharashtra,amravati,SC,SC,AGREE
maharashtra,aurangabad,GEN,GEN,AGREE
maharashtra,baramati,GEN,GEN,AGREE
maharashtra,beed,GEN,GEN,AGREE
maharashtra,bhandara gondiya,GEN,GEN,AGREE
maharashtra,bhiwandi,GEN,GEN,AGREE
maharashtra,buldhana,GEN,GEN,AGREE
maharashtra,chandrapur,GEN,GEN,AGREE
maharashtra,dhule,GEN,GEN,AGREE
maharashtra,dindori,ST,ST,AGREE
maharashtra,gadchiroli chimur,ST,ST,AGREE
maharashtra,hatkanangale,,GEN,ECI_ONLY
maharashtra,hatkanangle,GEN,,TCPD_ONLY
maharashtra,hingoli,GEN,GEN,AGREE
maharashtra,jalgaon,GEN,GEN,AGREE
maharashtra,jalna,GEN,GEN,AGREE
maharashtra,kalyan,GEN,GEN,AGREE
maharashtra,kolhapur,GEN,GEN,AGREE
maharashtra,latur,SC,SC,AGREE
maharashtra,madha,GEN,GEN,AGREE
maharashtra,maval,GEN,GEN,AGREE
maharashtra,mumbai north,GEN,GEN,AGREE
maharashtra,mumbai north central,GEN,GEN,AGREE
maharashtra,mumbai north east,GEN,GEN,AGREE
maharashtra,mumbai north west,GEN,GEN,AGREE
maharashtra,mumbai south,GEN,GEN,AGREE
maharashtra,mumbai south central,GEN,GEN,AGREE
maharashtra,nagpur,GEN,GEN,AGREE
maharashtra,nanded,GEN,GEN,AGREE
maharashtra,nandurbar,ST,ST,AGREE
maharashtra,nashik,GEN,GEN,AGREE
maharashtra,osmanabad,GEN,GEN,AGREE
maharashtra,palghar,ST,ST,AGREE
maharashtra,parbhani,GEN,GEN,AGREE
maharashtra,pune,GEN,GEN,AGREE
maharashtra,raigad,GEN,GEN,AGREE
maharashtra,ramtek,SC,SC,AGREE
maharashtra,ratnagiri sindhudurg,GEN,GEN,AGREE
maharashtra,raver,GEN,GEN,AGREE
maharashtra,sangli,GEN,GEN,AGREE
maharashtra,satara,GEN,GEN,AGREE
maharashtra,shirdi,SC,SC,AGREE
maharashtra,shirur,GEN,GEN,AGREE
maharashtra,solapur,SC,SC,AGREE
maharashtra,thane,GEN,GEN,AGREE
maharashtra,wardha,GEN,GEN,AGREE
maharashtra,yavatmal washim,GEN,GEN,AGREE
manipur,inner manipur,GEN,GEN,AGREE
manipur,outer manipur,ST,ST,AGREE
meghalaya,shillong,ST,ST,AGREE
meghalaya,tura,ST,ST,AGREE
meghalaya,"tura(st), district,west garo hills",ST,,TCPD_ONLY
mizoram,mizoram,ST,ST,AGREE
nagaland,nagaland,GEN,ST,DISAGREE
odisha,aska,GEN,GEN,AGREE
odisha,balasore,GEN,GEN,AGREE
odisha,bargarh,GEN,GEN,AGREE
odisha,berhampur,GEN,GEN,AGREE
odisha,bhadrak,SC,SC,AGREE
odisha,bhubaneswar,GEN,GEN,AGREE
odisha,bolangir,GEN,GEN,AGREE
odisha,cuttack,GEN,GEN,AGREE
odisha,dhenkanal,GEN,GEN,AGREE
odisha,jagatsinghpur,SC,SC,AGREE
odisha,jajpur,SC,SC,AGREE
odisha,kalahandi,GEN,GEN,AGREE
odisha,kandhamal,GEN,GEN,AGREE
odisha,kendrapara,GEN,GEN,AGREE
odisha,keonjhar,ST,ST,AGREE
odisha,koraput,ST,ST,AGREE
odisha,mayurbhanj,ST,ST,AGREE
odisha,nabarangpur,ST,ST,AGREE
odisha,puri,GEN,GEN,AGREE
odisha,sambalpur,GEN,GEN,AGREE
odisha,sundargarh,ST,ST,AGREE
puducherry,puducherry,GEN,GEN,AGREE
punjab,amritsar,GEN,GEN,AGREE
punjab,anandpur sahib,GEN,GEN,AGREE
punjab,bathinda,GEN,GEN,AGREE
punjab,faridkot,SC,SC,AGREE
punjab,fatehgarh sahib,SC,SC,AGREE
punjab,ferozpur,GEN,,TCPD_ONLY
punjab,firozpur,GEN,GEN,AGREE
punjab,gurdashpur,GEN,,TCPD_ONLY
punjab,gurdaspur,GEN,GEN,AGREE
punjab,hoshiarpur,SC,SC,AGREE
punjab,jalandhar,SC,SC,AGREE
punjab,khadoor sahib,GEN,GEN,AGREE
punjab,ludhiana,GEN,GEN,AGREE
punjab,patiala,GEN,GEN,AGREE
punjab,sangrur,GEN,GEN,AGREE
rajasthan,ajmer,GEN,GEN,AGREE
rajasthan,alwar,GEN,GEN,AGREE
rajasthan,banswara,ST,ST,AGREE
rajasthan,barmer,GEN,GEN,AGREE
rajasthan,bharatpur,SC,SC,AGREE
rajasthan,bhilwara,GEN,GEN,AGREE
rajasthan,bikaner,SC,SC,AGREE
rajasthan,bikaner (sc),SC,,TCPD_ONLY
rajasthan,chittorgarh,GEN,GEN,AGREE
rajasthan,churu,GEN,GEN,AGREE
rajasthan,dausa,ST,ST,AGREE
rajasthan,ganganagar,SC,SC,AGREE
rajasthan,jaipur,GEN,GEN,AGREE
rajasthan,jaipur rural,GEN,GEN,AGREE
rajasthan,jalore,GEN,GEN,AGREE
rajasthan,jhalawar baran,GEN,GEN,AGREE
rajasthan,jhunjhunu,GEN,GEN,AGREE
rajasthan,jodhpur,GEN,GEN,AGREE
rajasthan,karauli dholpur,SC,SC,AGREE
rajasthan,kota,GEN,GEN,AGREE
rajasthan,nagaur,GEN,GEN,AGREE
rajasthan,pali,GEN,GEN,AGREE
rajasthan,rajsamand,GEN,GEN,AGREE
rajasthan,sikar,GEN,GEN,AGREE
rajasthan,tonk sawai madhopur,GEN,GEN,AGREE
rajasthan,udaipur,ST,ST,AGREE
sikkim,sikkim,GEN,GEN,AGREE
tamil-nadu,arakkonam,GEN,GEN,AGREE
tamil-nadu,arani,GEN,GEN,AGREE
tamil-nadu,chennai central,GEN,GEN,AGREE
tamil-nadu,chennai north,GEN,GEN,AGREE
tamil-nadu,chennai south,GEN,GEN,AGREE
tamil-nadu,chidambaram,SC,SC,AGREE
tamil-nadu,coimbatore,GEN,GEN,AGREE
tamil-nadu,cuddalore,GEN,GEN,AGREE
tamil-nadu,dharmapuri,GEN,GEN,AGREE
tamil-nadu,dindigul,GEN,GEN,AGREE
tamil-nadu,erode,GEN,GEN,AGREE
tamil-nadu,kallakurichi,GEN,GEN,AGREE
tamil-nadu,kancheepuram,SC,SC,AGREE
tamil-nadu,kanniyakumari,GEN,GEN,AGREE
tamil-nadu,karur,GEN,GEN,AGREE
tamil-nadu,krishnagiri,GEN,GEN,AGREE
tamil-nadu,madurai,GEN,GEN,AGREE
tamil-nadu,mayiladuthurai,GEN,GEN,AGREE
tamil-nadu,nagapattinam,SC,SC,AGREE
tamil-nadu,namakkal,GEN,GEN,AGREE
tamil-nadu,nilgiris,SC,SC,AGREE
tamil-nadu,perambalur,GEN,GEN,AGREE
tamil-nadu,pollachi,GEN,GEN,AGREE
tamil-nadu,ramanathapuram,GEN,GEN,AGREE
tamil-nadu,salem,GEN,GEN,AGREE
tamil-nadu,sivaganga,GEN,GEN,AGREE
tamil-nadu,sriperumbudur,GEN,GEN,AGREE
