layer_id,level,entity_state,entity_district,entity_city,partition_path,format,crs,simplification_algorithm,simplification_tolerance_deg,original_feature_count,retained_feature_count,unkeyed_count,unkeyed_keys_json,size_bytes,source_id,notes,delimitation_vintage
boundaries.in.panchayats.state=in_s03.district=281,panchayat,S03,281,,boundaries/in/panchayats/state=in_s03/district=281/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,137,137,0,,294189,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=282,panchayat,S03,282,,boundaries/in/panchayats/state=in_s03/district=282/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,447,447,0,,1000398,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=283,panchayat,S03,283,,boundaries/in/panchayats/state=in_s03/district=283/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,194,194,0,,670300,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=284,panchayat,S03,284,,boundaries/in/panchayats/state=in_s03/district=284/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,425,425,0,,778274,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=285,panchayat,S03,285,,boundaries/in/panchayats/state=in_s03/district=285/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,256,256,0,,615483,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=286,panchayat,S03,286,,boundaries/in/panchayats/state=in_s03/district=286/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,611,611,0,,1463034,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=287,panchayat,S03,287,,boundaries/in/panchayats/state=in_s03/district=287/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,243,243,0,,451366,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=288,panchayat,S03,288,,boundaries/in/panchayats/state=in_s03/district=288/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,226,226,0,,672915,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=289,panchayat,S03,289,,boundaries/in/panchayats/state=in_s03/district=289/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,105,105,0,,399703,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=290,panchayat,S03,290,,boundaries/in/panchayats/state=in_s03/district=290/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,241,241,0,,788673,src-a1dd899f902d,,
