electoral_id,lgd_district_id,is_primary,lgd_snapshot,source_id
IN-AC-2008-andhra-pradesh-3390,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3391,andhra-pradesh/annamayya,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3392,andhra-pradesh/annamayya,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3393,andhra-pradesh/annamayya,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3393,andhra-pradesh/chittoor,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3394,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3395,andhra-pradesh/annamayya,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3396,andhra-pradesh/annamayya,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3404,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3405,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3406,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3407,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3408,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3409,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3410,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3411,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3411,andhra-pradesh/tirupati,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3412,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3413,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3414,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3415,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3416,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3417,andhra-pradesh/sri-potti-sriramulu-nellore,false,2026-06-05,src-3a2ad82ba6e5
