entity_id,name,parent,entity_kind,aliases,census_2001_code,census_2011_code
haryana/nuh,Nuh,haryana,district,lgd:604,,87
haryana/palwal,Palwal,haryana,district,lgd:619,,89
haryana/panchkula,Panchkula,haryana,district,lgd:70,1,69
haryana/panipat,Panipat,haryana,district,lgd:71,7,75
haryana/rewari,Rewari,haryana,district,lgd:72,17,85
haryana/rohtak,Rohtak,haryana,district,lgd:73,14,82
haryana/sirsa,Sirsa,haryana,district,lgd:74,11,79
haryana/sonipat,Sonipat,haryana,district,lgd:75,8,76
haryana/yamunanagar,Yamunanagar,haryana,district,lgd:76,3,71
himachal-pradesh,Himachal Pradesh,IN,state,IN-HP|S08|lgd:2,2,2
himachal-pradesh/bilaspur,Bilaspur,himachal-pradesh,district,lgd:15,8,30
himachal-pradesh/chamba,Chamba,himachal-pradesh,district,lgd:16,1,23
himachal-pradesh/hamirpur,Hamirpur,himachal-pradesh,district,lgd:17,6,28
himachal-pradesh/kangra,Kangra,himachal-pradesh,district,lgd:18,2,24
himachal-pradesh/kinnaur,Kinnaur,himachal-pradesh,district,lgd:19,12,34
himachal-pradesh/kullu,Kullu,himachal-pradesh,district,lgd:20,4,26
himachal-pradesh/lahaul-and-spiti,Lahaul And Spiti,himachal-pradesh,district,lgd:21,3,25
himachal-pradesh/mandi,Mandi,himachal-pradesh,district,lgd:22,5,27
himachal-pradesh/shimla,Shimla,himachal-pradesh,district,lgd:23,11,33
himachal-pradesh/sirmaur,Sirmaur,himachal-pradesh,district,lgd:24,10,32
himachal-pradesh/solan,Solan,himachal-pradesh,district,lgd:25,9,31
himachal-pradesh/una,Una,himachal-pradesh,district,lgd:26,7,29
jammu-and-kashmir,Jammu & Kashmir,IN,state,IN-JK|U08|lgd:1|Jammu And Kashmir,1,1
jammu-and-kashmir/anantnag,Anantnag,jammu-and-kashmir,district,lgd:1,6,14
jammu-and-kashmir/bandipora,Bandipora,jammu-and-kashmir,district,lgd:623,,9
jammu-and-kashmir/baramulla,Baramulla,jammu-and-kashmir,district,lgd:3,2,8
jammu-and-kashmir/budgam,Budgam,jammu-and-kashmir,district,lgd:2,4,2
jammu-and-kashmir/doda,Doda,jammu-and-kashmir,district,lgd:4,9,16
jammu-and-kashmir/ganderbal,Ganderbal,jammu-and-kashmir,district,lgd:626,,11
jammu-and-kashmir/jammu,Jammu,jammu-and-kashmir,district,lgd:5,13,21
jammu-and-kashmir/kathua,Kathua,jammu-and-kashmir,district,lgd:7,14,7
jammu-and-kashmir/kishtwar,Kishtwar,jammu-and-kashmir,district,lgd:620,9,18
jammu-and-kashmir/kulgam,Kulgam,jammu-and-kashmir,district,lgd:622,,15
jammu-and-kashmir/kupwara,Kupwara,jammu-and-kashmir,district,lgd:8,1,1
jammu-and-kashmir/poonch,Poonch,jammu-and-kashmir,district,lgd:10,11,5
jammu-and-kashmir/pulwama,Pulwama,jammu-and-kashmir,district,lgd:11,5,12
jammu-and-kashmir/rajouri,Rajouri,jammu-and-kashmir,district,lgd:12,12,6
jammu-and-kashmir/ramban,Ramban,jammu-and-kashmir,district,lgd:621,9,17
jammu-and-kashmir/reasi,Reasi,jammu-and-kashmir,district,lgd:627,,20
jammu-and-kashmir/samba,Samba,jammu-and-kashmir,district,lgd:624,,22
jammu-and-kashmir/shopian,Shopian,jammu-and-kashmir,district,lgd:625,,13
jammu-and-kashmir/srinagar,Srinagar,jammu-and-kashmir,district,lgd:13,3,10
jammu-and-kashmir/udhampur,Udhampur,jammu-and-kashmir,district,lgd:14,10,19
jharkhand,Jharkhand,IN,state,IN-JH|S27|lgd:20,20,20
jharkhand/bokaro,Bokaro,jharkhand,district,lgd:322,13,355
jharkhand/chatra,Chatra,jharkhand,district,lgd:323,3,347
jharkhand/deoghar,Deoghar,jharkhand,district,lgd:324,7,350
jharkhand/dhanbad,Dhanbad,jharkhand,district,lgd:325,12,354
jharkhand/dumka,Dumka,jharkhand,district,lgd:326,11,362
jharkhand/east-singhbum,East Singhbum,jharkhand,district,lgd:327,18,357
jharkhand/garhwa,Garhwa,jharkhand,district,lgd:328,1,346
jharkhand/giridih,Giridih,jharkhand,district,lgd:329,6,349
jharkhand/godda,Godda,jharkhand,district,lgd:330,8,351
jharkhand/gumla,Gumla,jharkhand,district,lgd:331,16,366
jharkhand/hazaribagh,Hazaribagh,jharkhand,district,lgd:332,4,360
jharkhand/jamtara,Jamtara,jharkhand,district,lgd:333,20,363
jharkhand/khunti,Khunti,jharkhand,district,lgd:606,14,365
jharkhand/koderma,Koderma,jharkhand,district,lgd:334,5,348
jharkhand/latehar,Latehar,jharkhand,district,lgd:335,2,359
jharkhand/lohardaga,Lohardaga,jharkhand,district,lgd:336,15,356
jharkhand/pakur,Pakur,jharkhand,district,lgd:337,10,353
jharkhand/palamu,Palamu,jharkhand,district,lgd:338,2,358
jharkhand/ramgarh,Ramgarh,jharkhand,district,lgd:607,4,361
jharkhand/ranchi,Ranchi,jharkhand,district,lgd:339,14,364
jharkhand/sahebganj,Sahebganj,jharkhand,district,lgd:340,9,352
jharkhand/saraikela-kharsawan,Saraikela Kharsawan,jharkhand,district,lgd:341,17,369
jharkhand/simdega,Simdega,jharkhand,district,lgd:342,21,367
jharkhand/west-singhbhum,West Singhbhum,jharkhand,district,lgd:343,17,368
karnataka,Karnataka,IN,state,IN-KA|S10|lgd:29,29,29
karnataka/bagalkote,Bagalkote,karnataka,district,lgd:524,2,556
karnataka/ballari,Ballari,karnataka,district,lgd:528,12,565
karnataka/belagavi,Belagavi,karnataka,district,lgd:527,1,555
karnataka/bengaluru-rural,Bengaluru Rural,karnataka,district,lgd:526,21,583
karnataka/bengaluru-south,Bengaluru South,karnataka,district,lgd:631,21,584
karnataka/bengaluru-urban,Bengaluru Urban,karnataka,district,lgd:525,20,572
karnataka/bidar,Bidar,karnataka,district,lgd:529,5,558
karnataka/chamarajanagar,Chamarajanagar,karnataka,district,lgd:531,27,578
karnataka/chikkaballapura,Chikkaballapura,karnataka,district,lgd:630,19,582
karnataka/chikkamagaluru,Chikkamagaluru,karnataka,district,lgd:532,17,570
karnataka/chitradurga,Chitradurga,karnataka,district,lgd:533,13,566
karnataka/dakshina-kannada,Dakshina Kannada,karnataka,district,lgd:534,24,575
karnataka/davanagere,Davanagere,karnataka,district,lgd:535,14,567
karnataka/dharwad,Dharwad,karnataka,district,lgd:536,9,562
karnataka/gadag,Gadag,karnataka,district,lgd:537,8,561
karnataka/hassan,Hassan,karnataka,district,lgd:539,23,574
karnataka/haveri,Haveri,karnataka,district,lgd:540,11,564
karnataka/kalaburagi,Kalaburagi,karnataka,district,lgd:538,4,579
karnataka/kodagu,Kodagu,karnataka,district,lgd:541,25,576
karnataka/kolar,Kolar,karnataka,district,lgd:542,19,581
karnataka/koppal,Koppal,karnataka,district,lgd:543,7,560
karnataka/mandya,Mandya,karnataka,district,lgd:544,22,573
karnataka/mysuru,Mysuru,karnataka,district,lgd:545,26,577
karnataka/raichur,Raichur,karnataka,district,lgd:546,6,559
karnataka/shivamogga,Shivamogga,karnataka,district,lgd:547,15,568
karnataka/tumakuru,Tumakuru,karnataka,district,lgd:548,18,571
karnataka/udupi,Udupi,karnataka,district,lgd:549,16,569
karnataka/uttara-kannada,Uttara Kannada,karnataka,district,lgd:550,10,563
karnataka/vijayanagara,Vijayanagara,karnataka,district,lgd:738,,
karnataka/vijayapura,Vijayapura,karnataka,district,lgd:530,3,557
karnataka/yadgir,Yadgir,karnataka,district,lgd:635,4,580
kerala,Kerala,IN,state,IN-KL|S11|lgd:32,32,32
kerala/alappuzha,Alappuzha,kerala,district,lgd:554,11,598
kerala/ernakulam,Ernakulam,kerala,district,lgd:555,8,595
kerala/idukki,Idukki,kerala,district,lgd:556,9,596
kerala/kannur,Kannur,kerala,district,lgd:557,2,589
kerala/kasaragod,Kasaragod,kerala,district,lgd:558,1,588
kerala/kollam,Kollam,kerala,district,lgd:559,13,600
kerala/kottayam,Kottayam,kerala,district,lgd:560,10,597
kerala/kozhikode,Kozhikode,kerala,district,lgd:561,4,591
kerala/malappuram,Malappuram,kerala,district,lgd:562,5,592
kerala/palakkad,Palakkad,kerala,district,lgd:563,6,593
kerala/pathanamthitta,Pathanamthitta,kerala,district,lgd:564,12,599
kerala/thiruvananthapuram,Thiruvananthapuram,kerala,district,lgd:565,14,601
kerala/thrissur,Thrissur,kerala,district,lgd:566,7,594
kerala/wayanad,Wayanad,kerala,district,lgd:567,3,590
ladakh,Ladakh,IN,state,IN-LA|U09|lgd:37,,
ladakh/kargil,Kargil,ladakh,district,lgd:6,8,4
ladakh/leh-ladakh,Leh Ladakh,ladakh,district,lgd:9,7,3
lakshadweep,Lakshadweep,IN,state,IN-LD|U04|lgd:31,31,31
lakshadweep/lakshadweep-district,Lakshadweep District,lakshadweep,district,lgd:553,1,587
madhya-pradesh,Madhya Pradesh,IN,state,IN-MP|S12|lgd:23,23,23
madhya-pradesh/agar-malwa,Agar-Malwa,madhya-pradesh,district,lgd:667,,
madhya-pradesh/alirajpur,Alirajpur,madhya-pradesh,district,lgd:639,24,465
