electoral_id,lgd_district_id,delim_year,boundary_snapshot,overlap_kind
IN-AC-2008-chhattisgarh-2395,chhattisgarh/sarangarh-bilaigarh,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2396,chhattisgarh/sakti,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2402,chhattisgarh/uttar-bastar-kanker,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2404,chhattisgarh/balod,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2409,chhattisgarh/dhamtari,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2410,chhattisgarh/korea,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2411,chhattisgarh/manendragarh-chirmiri-bharatpur-m-c-b,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2412,chhattisgarh/korba,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2418,chhattisgarh/mahasamund,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2419,chhattisgarh/gariyaband,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2426,chhattisgarh/raigarh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2427,chhattisgarh/jashpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2431,chhattisgarh/kabeerdham,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2434,chhattisgarh/raipur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2443,chhattisgarh/rajnandgaon,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2446,chhattisgarh/khairagarh-chhuikhadan-gandai,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2448,chhattisgarh/mohla-manpur-ambagarh-chouki,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2451,chhattisgarh/surguja,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2452,chhattisgarh/surajpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2454,chhattisgarh/balrampur-ramanujganj,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-goa-3677,goa/north-goa,2008,lgd:2026-06-01,wholly_inside
