external_key,party_short_raw,state,year,n_rows,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,current_party_id,proposed_party_id,action,oracle,curator_note
ABMSKP,ABMSKP,rajasthan,2009,1,8746,Local Party,Akahand  Bharat Maha Sangh Sarvahara Krantikari Party,ABMSKP,parties.IN.UNK,parties.IN.ABMSKP,mint-new,tcpd-unique,TCPD Party_ID 8746 ('Akahand  Bharat Maha Sangh Sarvahara Krantikari Party'); minting new slug 'parties.IN.ABMSKP' from frequent_abbrev 'ABMSKP'.
ABMVMP,ABMVMP,bihar|jharkhand,2020-2024,2,24929,,Akhil Bhartiya Manavadhikar Vichar Manch Party,ABMVMP,parties.IN.UNK,parties.IN.ABMVMP,mint-new,tcpd-unique,TCPD Party_ID 24929 ('Akhil Bhartiya Manavadhikar Vichar Manch Party'); minting new slug 'parties.IN.ABMVMP' from frequent_abbrev 'ABMVMP'.
ABNNP,ABNNP,uttar-pradesh,2019,1,24458,,Akhil Bhartiya Navnirman Party,ABNNP,parties.IN.UNK,parties.IN.ABNNP,mint-new,tcpd-unique,TCPD Party_ID 24458 ('Akhil Bhartiya Navnirman Party'); minting new slug 'parties.IN.ABNNP' from frequent_abbrev 'ABNNP'.
ABP,ABP,odisha,2014,1,8748,Local Party,Ambedkarbadi Party,ABP,parties.IN.UNK,parties.IN.ABP,mint-new,tcpd-unique,TCPD Party_ID 8748 ('Ambedkarbadi Party'); minting new slug 'parties.IN.ABP' from frequent_abbrev 'ABP'.
ABRJP,ABRJP,rajasthan,2018,61,64,,Abhinav Rajasthan Party,ABRJP,parties.IN.UNK,parties.IN.ABRJP,mint-new,tcpd-unique,TCPD Party_ID 64 ('Abhinav Rajasthan Party'); minting new slug 'parties.IN.ABRJP' from frequent_abbrev 'ABRJP'.
ABRS,ABRS,bihar|uttar-pradesh|uttarakhand,2009-2015,7,8759,Local Party,Akhil Bharatiya Rajarya Sabha,ABRS,parties.IN.UNK,parties.IN.ABRS,mint-new,tcpd-unique,TCPD Party_ID 8759 ('Akhil Bharatiya Rajarya Sabha'); minting new slug 'parties.IN.ABRS' from frequent_abbrev 'ABRS'.
ABSC,ABSC,uttar-pradesh,2014,1,15625,Local Party,Akhil Bharatiya Samajwadi Congress,ABSC,parties.IN.UNK,parties.IN.ABSC,mint-new,tcpd-unique,TCPD Party_ID 15625 ('Akhil Bharatiya Samajwadi Congress'); minting new slug 'parties.IN.ABSC' from frequent_abbrev 'ABSC'.
ABSD,ABSD,punjab,2017,3,372,,Akhil Bharatiya Sangharsh Dal,ABSD,parties.IN.UNK,parties.IN.ABSD,mint-new,tcpd-unique,TCPD Party_ID 372 ('Akhil Bharatiya Sangharsh Dal'); minting new slug 'parties.IN.ABSD' from frequent_abbrev 'ABSD'.
ABSDSP,ABSDSP,chhattisgarh,2018,3,426,,Akhil Bhartiya Sarvadharma Samaj Party,ABSDSP,parties.IN.UNK,parties.IN.ABSDSP,mint-new,tcpd-unique,TCPD Party_ID 426 ('Akhil Bhartiya Sarvadharma Samaj Party'); minting new slug 'parties.IN.ABSDSP' from frequent_abbrev 'ABSDSP'.
ABSHP,ABSHP,uttar-pradesh,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABSKP,ABSKP,chhattisgarh|uttar-pradesh,2017-2019,3,223,,Akhil Bharat Samagra Kranti Party,ABSKP,parties.IN.UNK,parties.IN.ABSKP,mint-new,tcpd-unique,TCPD Party_ID 223 ('Akhil Bharat Samagra Kranti Party'); minting new slug 'parties.IN.ABSKP' from frequent_abbrev 'ABSKP'.
ABSP,ABSP,bihar|delhi,2008-2014,5,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (136|385); state-disambiguation also failed across our states (bihar|delhi).
ABSPAR,ABSPAR,delhi,2013-2015,3,435,,Akhil Bhartiya Sudhar Party,ABSPAR,parties.IN.UNK,parties.IN.ABSPAR,mint-new,tcpd-unique,TCPD Party_ID 435 ('Akhil Bhartiya Sudhar Party'); minting new slug 'parties.IN.ABSPAR' from frequent_abbrev 'ABSPAR'.
ABSPARTY,ABSPARTY,delhi,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABSR,ABSR,punjab,2009-2014,4,18669,Local Party,AKHIL BHARATIYA SHIVSENA - RASHTRAWADI,ABSR,parties.IN.UNK,parties.IN.ABSR,mint-new,tcpd-state,TCPD Party_ID 18669 ('AKHIL BHARATIYA SHIVSENA - RASHTRAWADI'); minting new slug 'parties.IN.ABSR' from frequent_abbrev 'ABSR'.
ABSSP,ABSSP,chhattisgarh|maharashtra,2008-2019,6,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (384|426); state-disambiguation also failed across our states (chhattisgarh|maharashtra).
ABSTP,ABSTP,uttar-pradesh,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABTP,ABTP,gujarat,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABUAJP,ABUAJP,jharkhand,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABVCP,ABVCP,uttar-pradesh,2017,4,440,Local Party,Akhil Bhartiya Vikas Congress Party,ABVCP,parties.IN.UNK,parties.IN.ABVCP,mint-new,tcpd-unique,TCPD Party_ID 440 ('Akhil Bhartiya Vikas Congress Party'); minting new slug 'parties.IN.ABVCP' from frequent_abbrev 'ABVCP'.
ABVCP TEL,ABVCP TEL,delhi,2013,3,440,Local Party,Akhil Bhartiya Vikas Congress Party,ABVCP,parties.IN.UNK,parties.IN.ABVCP,mint-new,tcpd-unique,TCPD Party_ID 440 ('Akhil Bhartiya Vikas Congress Party'); minting new slug 'parties.IN.ABVCP' from frequent_abbrev 'ABVCP'.
AC,AC,arunachal-pradesh,2009,1,8770,State-based Party,Arunachal Congress,AC,parties.IN.UNK,parties.IN.AC,mint-new,tcpd-unique,TCPD Party_ID 8770 ('Arunachal Congress'); minting new slug 'parties.IN.AC' from frequent_abbrev 'AC'.
ACDP,ACDP,bihar|maharashtra|tamil-nadu|telangana,2019-2024,15,24932,,Anti Corruption Dynamic Party,ACDP,parties.IN.UNK,parties.IN.ACDP,mint-new,tcpd-unique,TCPD Party_ID 24932 ('Anti Corruption Dynamic Party'); minting new slug 'parties.IN.ACDP' from frequent_abbrev 'ACDP'.
ACNC,ACNC,meghalaya,2009,1,8774,Local Party,A-Chik National Congress(Democratic),ACNC,parties.IN.UNK,parties.IN.ACNC,mint-new,tcpd-unique,TCPD Party_ID 8774 ('A-Chik National Congress(Democratic)'); minting new slug 'parties.IN.ACNC' from frequent_abbrev 'ACNC'.
ACP,ACP,andhra-pradesh|uttar-pradesh,2016-2019,5,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (17074|24582); state-disambiguation also failed across our states (andhra-pradesh|uttar-pradesh).
ACTION PARTY,ACTION PARTY,uttar-pradesh,2022,1,25082,,,,parties.IN.UNK,,disputed,tcpd-unique,TCPD Party_ID 25082 present in AE/GE panel but absent from per-party catalogue; cannot derive mint payload (short / full / type / abbrevs).
