entity_id,time,fuel_type,value,source_id
dadra-and-nagar-haveli-and-daman-and-diu,2025,all,138.65,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2025,renewable,138.65,src-4f495cca1e69
delhi,2015,all,3064.14,src-4f495cca1e69
delhi,2015,coal,840,src-4f495cca1e69
delhi,2015,gas,2208.4,src-4f495cca1e69
delhi,2015,renewable,15.74,src-4f495cca1e69
delhi,2016,all,3106.13,src-4f495cca1e69
delhi,2016,coal,840,src-4f495cca1e69
delhi,2016,gas,2208.4,src-4f495cca1e69
delhi,2016,renewable,57.73,src-4f495cca1e69
delhi,2017,all,3171.43,src-4f495cca1e69
delhi,2017,coal,840,src-4f495cca1e69
delhi,2017,gas,2208.4,src-4f495cca1e69
delhi,2017,renewable,123.03,src-4f495cca1e69
delhi,2018,all,2523.75,src-4f495cca1e69
delhi,2018,coal,135,src-4f495cca1e69
delhi,2018,gas,2208.4,src-4f495cca1e69
delhi,2018,renewable,180.35,src-4f495cca1e69
delhi,2019,all,2427.02,src-4f495cca1e69
delhi,2019,gas,2208.4,src-4f495cca1e69
delhi,2019,renewable,218.62,src-4f495cca1e69
delhi,2020,all,2454.83,src-4f495cca1e69
delhi,2020,gas,2208.4,src-4f495cca1e69
delhi,2020,renewable,246.43,src-4f495cca1e69
delhi,2021,all,2478.52,src-4f495cca1e69
delhi,2021,gas,2208.4,src-4f495cca1e69
delhi,2021,renewable,270.12,src-4f495cca1e69
delhi,2022,all,2510.66,src-4f495cca1e69
delhi,2022,gas,2208.4,src-4f495cca1e69
delhi,2022,renewable,302.26,src-4f495cca1e69
delhi,2023,all,2548.91,src-4f495cca1e69
delhi,2023,gas,2208.4,src-4f495cca1e69
delhi,2023,renewable,340.51,src-4f495cca1e69
delhi,2024,all,2605.8,src-4f495cca1e69
delhi,2024,gas,2208.4,src-4f495cca1e69
delhi,2024,renewable,397.4,src-4f495cca1e69
delhi,2025,all,2606.77,src-4f495cca1e69
delhi,2025,gas,2100.4,src-4f495cca1e69
delhi,2025,renewable,506.37,src-4f495cca1e69
goa,2015,all,48.17,src-4f495cca1e69
goa,2015,gas,48,src-4f495cca1e69
goa,2015,renewable,0.16999999999999998,src-4f495cca1e69
goa,2016,all,48.88,src-4f495cca1e69
goa,2016,gas,48,src-4f495cca1e69
goa,2016,renewable,0.88,src-4f495cca1e69
goa,2017,all,49.08,src-4f495cca1e69
goa,2017,gas,48,src-4f495cca1e69
goa,2017,renewable,1.08,src-4f495cca1e69
goa,2018,all,52.09,src-4f495cca1e69
goa,2018,gas,48,src-4f495cca1e69
goa,2018,renewable,4.09,src-4f495cca1e69
goa,2019,all,53.29,src-4f495cca1e69
goa,2019,gas,48,src-4f495cca1e69
goa,2019,renewable,5.29,src-4f495cca1e69
goa,2020,all,55.95,src-4f495cca1e69
goa,2020,gas,48,src-4f495cca1e69
goa,2020,renewable,7.949999999999999,src-4f495cca1e69
goa,2021,all,68.34,src-4f495cca1e69
goa,2021,gas,48,src-4f495cca1e69
goa,2021,renewable,20.34,src-4f495cca1e69
goa,2022,all,74.88,src-4f495cca1e69
goa,2022,gas,48,src-4f495cca1e69
goa,2022,renewable,26.88,src-4f495cca1e69
goa,2023,all,93.47,src-4f495cca1e69
goa,2023,gas,48,src-4f495cca1e69
goa,2023,renewable,45.47,src-4f495cca1e69
goa,2024,all,58.43,src-4f495cca1e69
goa,2024,renewable,58.43,src-4f495cca1e69
goa,2025,all,83.49,src-4f495cca1e69
goa,2025,renewable,83.49,src-4f495cca1e69
gujarat,2015,all,31019.37,src-4f495cca1e69
gujarat,2015,coal,15712,src-4f495cca1e69
gujarat,2015,gas,7695.41,src-4f495cca1e69
gujarat,2015,hydro,1990,src-4f495cca1e69
gujarat,2015,nuclear,440,src-4f495cca1e69
gujarat,2015,renewable,5181.96,src-4f495cca1e69
gujarat,2016,all,32812.81,src-4f495cca1e69
gujarat,2016,coal,15972,src-4f495cca1e69
gujarat,2016,gas,7695.41,src-4f495cca1e69
gujarat,2016,hydro,1990,src-4f495cca1e69
gujarat,2016,nuclear,440,src-4f495cca1e69
gujarat,2016,renewable,6715.4,src-4f495cca1e69
gujarat,2017,all,32822.86,src-4f495cca1e69
gujarat,2017,coal,15492,src-4f495cca1e69
gujarat,2017,gas,7551.41,src-4f495cca1e69
gujarat,2017,hydro,1990,src-4f495cca1e69
gujarat,2017,nuclear,440,src-4f495cca1e69
gujarat,2017,renewable,7349.45,src-4f495cca1e69
gujarat,2018,all,34181.13,src-4f495cca1e69
