state,event,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing_party,n_oracles_agreeing_candidate,yen_gov_winner_party_id,yen_gov_winner_candidate_name,yen_gov_winner_votes,other_sources,party_id_alliance,verdict_party,verdict_candidate,verdict,curator_note,curator_source_id
west-bengal,AcGenApr2021,93,HARINGHATA,2,2,2,parties.IN.BJP,ASIM KUMAR SARKAR,97666,tcpd-state:parties.IN.BJP:ASIM KUMAR SARKAR:97666,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,94,BAGDAH,2,2,2,parties.IN.BJP,Biswajit Das,108111,tcpd-state:parties.IN.BJP:Biswajit Das:108111,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,95,BONGAON UTTAR,2,2,2,parties.IN.BJP,ASHOK KIRTANIA,97761,tcpd-state:parties.IN.BJP:ASHOK KIRTANIA:97761,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,96,BONGAON DAKSHIN,2,2,2,parties.IN.BJP,SWAPAN MAJUMDER,97828,tcpd-state:parties.IN.BJP:SWAPAN MAJUMDER:97828,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,97,GAIGHATA,2,2,2,parties.IN.BJP,SUBRATA THAKUR,100808,tcpd-state:parties.IN.BJP:SUBRATA THAKUR:100808,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,98,SWARUPNAGAR,2,2,2,parties.IN.AITC,BINA MONDAL,99784,tcpd-state:parties.IN.AITC:BINA MONDAL:99784,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,99,BADURIA,2,2,2,parties.IN.AITC,ABDUR RAHIM QUAZI,109701,tcpd-state:parties.IN.AITC:ABDUR RAHIM QUAZI:109701,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,100,HABRA,2,2,2,parties.IN.AITC,JYOTI PRIYA MALLICK,90533,tcpd-state:parties.IN.AITC:JYOTI PRIYA MALLICK:90533,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,101,ASHOKNAGAR,2,2,2,parties.IN.AITC,NARAYAN GOSWAMI,93587,tcpd-state:parties.IN.AITC:NARAYAN GOSWAMI:93587,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,102,AMDANGA,2,2,2,parties.IN.AITC,RAFIQUR RAHAMAN,88935,tcpd-state:parties.IN.AITC:RAFIQUR RAHAMAN:88935,,VERIFIED,VERIFIED,VERIFIED,,
