entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3894,2021,91301,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3894,2021,32,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3895,2021,216834,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3895,2021,205189,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3895,2021,115,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3896,2021,170265,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3896,2021,159554,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3896,2021,30,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3897,2021,139388,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3897,2021,130529,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3897,2021,24,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3898,2021,159647,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3898,2021,147868,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3898,2021,101,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3899,2021,116882,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3899,2021,106187,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3899,2021,80,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3900,2021,121305,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3900,2021,116838,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3900,2021,46,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3901,2021,95746,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3901,2021,95509,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3901,2021,16,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3902,2021,124450,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3902,2021,117245,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3902,2021,72,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3903,2021,106253,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3903,2021,102727,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3903,2021,4,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3904,2021,121111,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3904,2021,119650,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3904,2021,22,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3905,2021,130003,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3905,2021,130664,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3905,2021,84,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3906,2021,123336,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3906,2021,122332,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3906,2021,24,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3907,2021,126814,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3907,2021,128836,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3907,2021,15,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3908,2021,119420,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3908,2021,120881,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3908,2021,21,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3909,2021,128325,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3909,2021,128301,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3909,2021,14,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3910,2021,120803,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3910,2021,127802,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3910,2021,9,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3911,2021,135875,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3911,2021,125951,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3911,2021,17,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3912,2021,125127,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3912,2021,116779,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3912,2021,20,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3913,2021,132854,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3913,2021,128229,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3913,2021,69,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3914,2021,112780,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3914,2021,108300,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3914,2021,14,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3915,2021,114603,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3915,2021,105633,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3915,2021,2,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3916,2021,122883,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3916,2021,116862,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3916,2021,50,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3917,2021,115523,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3917,2021,106875,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3917,2021,8,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3918,2021,93724,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3918,2021,85804,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3918,2021,38,third_gender,src-99455a24d3c4,minor
