lgd_state_code,ac_lgd_code,lgd_district_code,village_count,is_primary
8,592,102,8,true
8,593,102,236,true
8,600,102,306,true
8,601,87,6,false
8,601,782,188,true
8,602,102,242,true
8,603,102,355,true
8,604,782,138,true
8,605,102,128,true
8,606,102,48,true
8,607,102,94,false
8,607,782,195,true
8,608,104,162,true
8,609,104,161,true
8,610,104,123,true
8,611,115,168,true
8,612,104,173,true
8,613,115,191,true
8,614,104,274,true
8,615,115,171,true
8,616,89,217,true
8,617,89,258,true
8,618,89,391,true
8,619,105,351,true
8,620,105,448,true
8,621,105,453,true
8,622,89,453,true
8,623,105,670,true
8,624,114,127,true
8,625,106,115,true
8,626,106,126,true
8,627,106,194,true
8,628,106,124,true
8,629,106,136,true
8,630,106,192,true
8,631,106,124,true
8,632,107,9,true
8,633,772,655,true
8,634,107,282,true
8,635,772,295,true
8,636,103,347,true
8,636,772,32,false
8,638,107,773,true
8,639,107,4,true
8,640,98,242,true
8,641,98,241,true
8,642,98,173,true
8,643,108,138,true
8,644,108,222,true
8,645,98,225,true
8,646,108,352,true
8,647,108,233,true
8,648,94,297,true
8,649,94,312,true
8,652,109,163,true
8,653,109,267,true
8,654,109,230,true
8,655,109,304,true
8,656,768,168,true
8,657,110,178,true
8,658,110,169,true
8,659,768,149,true
8,660,768,143,true
8,661,110,117,true
8,662,768,192,true
8,663,768,159,true
8,664,111,197,true
8,665,107,257,true
8,666,107,179,true
8,667,111,246,true
8,668,107,236,true
8,669,111,82,true
8,670,111,126,true
8,670,774,35,false
8,671,111,179,true
8,672,774,231,true
8,673,112,274,true
8,673,774,36,false
8,674,110,215,true
8,675,774,244,true
8,676,112,319,true
8,677,110,186,true
8,678,112,270,true
8,679,112,221,true
8,680,102,113,true
8,681,114,223,true
8,682,114,160,true
8,683,114,166,true
8,684,114,178,true
8,685,114,164,true
8,686,114,84,true
8,687,114,123,true
8,688,113,275,true
8,689,116,417,true
8,690,113,133,true
8,691,113,298,true
8,692,116,266,true
8,693,116,348,true
8,694,113,151,true
8,695,116,218,true
8,696,99,300,true
8,697,629,174,false
8,697,777,233,true
8,698,117,438,true
8,699,117,478,true
8,700,117,342,true
8,700,777,22,false
8,701,98,1,false
8,701,777,387,true
8,703,117,152,true
9,707,118,120,true
9,708,138,191,true
9,709,156,238,true
9,710,157,274,true
9,711,157,245,true
9,713,157,104,true
9,715,119,249,true
9,716,119,218,true
9,717,119,212,true
9,718,119,60,true
9,720,120,395,true
9,721,120,291,true
9,722,120,392,true
9,723,120,282,true
9,724,121,256,true
9,725,140,360,true
9,726,121,314,true
9,727,121,377,true
9,728,121,419,true
9,729,640,301,true
9,730,640,302,true
9,731,185,32,false
9,731,640,197,true
9,732,175,265,true
9,733,640,199,true
9,734,154,122,true
9,735,154,26,true
9,736,661,183,true
9,737,154,299,true
9,738,154,687,true
9,739,130,211,true
9,740,130,331,true
9,741,133,407,true
9,742,130,427,true
9,743,133,290,true
9,744,123,369,true
9,745,123,541,true
9,746,123,433,true
9,747,123,347,true
9,748,123,501,true
9,749,133,240,true
9,750,133,284,true
9,751,133,180,true
9,752,659,390,true
9,753,133,314,true
9,754,124,116,true
9,755,124,90,true
9,756,124,109,true
9,757,145,85,true
9,758,169,140,true
9,759,125,122,true
9,760,125,158,true
9,761,125,203,true
9,762,125,129,true
9,763,125,135,true
9,764,126,168,true
9,765,126,332,true
9,766,146,673,true
9,766,168,514,false
9,767,126,488,true
9,768,146,598,true
9,769,128,208,true
9,770,128,137,true
9,771,136,322,true
9,772,136,339,true
9,773,128,195,true
9,774,148,552,true
9,775,137,345,true
9,776,148,218,true
9,777,148,726,true
9,778,137,295,true
9,779,129,393,true
9,780,129,372,true
9,781,129,404,true
9,782,129,241,true
9,783,129,1,true
9,785,130,58,true
9,786,130,258,true
9,787,130,248,true
9,788,130,331,true
9,789,131,408,true
9,790,131,920,true
9,791,131,672,true
9,792,131,773,true
9,793,131,691,true
9,794,179,419,true
9,795,179,448,true
9,796,179,428,true
9,797,120,347,true
9,798,120,366,true
9,799,132,459,true
9,800,132,328,true
9,801,169,223,true
9,802,172,180,true
9,803,172,146,true
9,804,134,207,true
9,805,134,118,true
9,806,134,191,true
9,807,134,188,true
9,808,134,184,true
9,809,187,411,true
9,810,135,293,true
9,811,135,369,true
9,812,135,291,true
9,813,187,207,true
9,814,137,212,true
9,815,160,295,true
9,816,137,258,true
9,817,137,358,true
9,818,160,226,true
9,819,159,197,true
9,820,183,261,true
9,821,159,280,true
9,822,183,429,true
9,823,159,340,true
9,824,182,628,true
9,825,182,543,true
9,826,182,465,true
9,827,182,500,true
9,828,182,456,true
9,829,633,244,true
9,830,138,253,true
9,831,633,227,true
9,832,138,198,true
9,833,633,248,true
9,834,122,142,true
9,835,139,271,true
9,836,122,406,true
9,837,139,173,true
9,838,156,310,true
9,839,140,144,true
9,840,140,271,true
9,841,129,437,true
9,842,140,280,true
9,843,129,1,false
9,843,140,246,true
9,844,138,241,true
9,845,141,237,true
9,846,141,239,true
9,847,141,130,true
9,848,141,416,true
9,849,142,176,true
9,850,142,249,true
9,851,118,166,false
9,851,142,205,true
9,852,142,406,true
9,853,142,286,true
9,854,142,247,true
9,855,118,166,true
9,856,118,215,true
9,858,118,170,true
9,859,118,156,true
9,860,143,6,true
9,861,143,271,true
9,862,143,158,true
9,863,143,219,true
9,864,143,175,true
9,865,144,173,true
9,866,144,187,true
9,867,134,195,true
9,868,144,45,true
9,869,134,180,true
9,870,145,22,false
9,870,661,95,true
9,872,145,98,true
9,873,145,60,true
9,875,146,288,true
9,876,146,599,true
9,877,146,494,true
9,878,146,541,true
9,879,146,274,true
9,880,168,413,true
9,881,168,466,true
9,882,168,284,true
9,884,126,383,true
9,885,147,399,true
9,886,147,226,true
9,887,147,262,true
9,888,147,291,true
9,889,127,267,true
9,890,148,324,true
9,891,148,314,true
9,893,148,230,true
9,894,148,453,true
9,895,165,365,true
9,896,149,305,true
9,897,165,156,true
9,898,149,327,true
9,899,128,265,true
9,900,150,310,true
9,901,150,189,true
9,902,150,107,true
9,903,150,428,true
9,904,150,317,true
9,905,119,197,true
9,906,163,196,true
9,907,119,296,true
9,908,163,250,true
9,909,163,240,true
9,910,156,259,true
9,911,153,329,true
9,912,151,408,true
9,913,151,491,true
9,914,151,262,true
9,915,152,407,true
9,916,152,360,true
9,917,152,414,true
9,918,152,345,true
9,919,152,357,true
9,920,153,221,true
9,921,153,21,true
9,922,161,312,true
9,923,153,291,true
9,924,161,444,true
9,925,177,148,true
9,926,660,152,true
9,927,177,396,true
9,928,660,62,true
9,929,660,110,true
9,930,147,198,true
9,931,125,208,true
9,932,147,291,true
9,933,125,459,true
9,934,147,209,true
9,935,122,311,true
9,936,155,275,true
9,937,155,317,true
9,938,156,229,true
9,939,155,180,true
9,943,157,89,true
9,945,174,290,true
9,946,158,270,true
9,947,174,264,true
9,948,158,315,true
9,949,158,298,true
9,950,159,252,true
9,951,159,168,true
9,952,159,138,true
9,953,159,222,true
9,954,159,251,true
9,955,160,236,true
9,956,160,260,true
9,957,160,212,true
9,958,160,247,true
9,959,160,164,true
9,960,123,493,true
9,961,123,330,true
9,962,123,458,true
9,963,123,419,true
9,964,123,349,true
9,970,152,356,true
9,971,152,386,true
9,972,152,361,true
9,973,187,261,true
9,974,152,458,true
9,975,164,211,true
9,976,164,268,true
9,977,164,243,true
9,978,164,234,true
9,979,164,322,true
9,980,166,258,true
9,981,139,263,true
9,982,166,241,true
9,983,166,216,true
9,984,166,167,true
9,985,167,252,true
9,986,167,176,true
9,987,167,131,true
9,988,167,277,true
9,989,167,57,true
9,990,661,89,true
9,991,169,184,true
9,994,169,27,true
9,995,170,559,true
9,996,170,417,true
9,997,170,367,true
9,998,170,445,true
9,999,170,228,true
9,1000,150,205,true
9,1001,150,330,true
9,1002,157,414,true
9,1003,183,294,true
9,1004,150,215,true
9,1005,162,248,true
9,1006,162,249,true
9,1007,162,231,true
9,1008,162,236,true
9,1009,183,287,true
9,1010,132,491,true
9,1011,171,289,true
9,1012,171,21,true
9,1013,171,106,true
9,1014,171,328,true
9,1015,172,106,true
9,1016,172,113,true
9,1017,172,153,true
9,1018,172,16,true
9,1019,169,138,true
9,1020,132,257,true
9,1021,132,433,true
9,1022,132,309,true
9,1023,132,369,true
9,1024,132,370,true
9,1026,120,193,true
9,1027,120,293,true
9,1028,120,330,true
9,1029,120,323,true
9,1030,130,338,true
9,1031,173,370,true
9,1032,173,327,true
9,1033,173,254,true
9,1034,173,496,true
9,1035,174,386,true
9,1036,174,453,true
9,1037,174,295,true
9,1038,174,281,true
9,1039,174,313,true
9,1040,175,231,true
9,1041,175,237,true
9,1042,175,214,true
9,1043,175,329,true
9,1044,175,335,true
9,1045,176,345,true
9,1046,176,251,true
9,1047,176,293,true
9,1048,176,101,true
9,1049,176,212,true
9,1050,135,723,true
9,1051,184,274,true
9,1052,184,617,true
9,1053,184,89,true
9,1054,184,480,true
9,1055,177,330,true
9,1056,177,122,true
9,1057,177,377,true
9,1058,177,257,true
9,1060,126,508,true
9,1061,126,311,true
9,1062,137,358,true
9,1063,137,372,true
9,1064,126,253,true
9,1065,659,295,true
9,1066,171,226,true
9,1066,659,46,false
9,1067,659,162,true
9,1068,171,253,true
9,1069,659,148,true
9,1070,121,509,true
9,1071,178,583,true
9,1072,148,676,true
9,1073,178,518,true
9,1074,178,636,true
9,1075,180,460,true
9,1076,180,354,true
9,1077,180,463,true
9,1078,180,554,true
9,1079,180,79,true
9,1080,180,427,true
9,1081,127,236,true
9,1082,181,247,true
9,1083,127,286,true
9,1084,181,297,true
9,1085,127,236,true
9,1086,183,221,true
9,1087,183,215,true
9,1088,183,296,true
9,1089,183,234,true
9,1090,183,192,true
9,1091,185,222,true
9,1091,640,2,false
9,1092,185,340,true
9,1093,185,463,true
9,1094,185,405,true
9,1095,185,302,true
9,1095,640,1,false
9,1096,186,279,true
9,1097,186,304,true
9,1098,186,322,true
9,1099,186,450,true
9,1100,186,313,true
9,1101,186,133,true
9,1102,187,207,true
9,1103,187,318,true
9,1104,187,22,true
9,1105,187,30,true
10,1107,188,88,true
10,1108,188,121,true
10,1109,188,213,true
10,1110,188,143,true
10,1111,188,138,true
10,1112,188,165,true
10,1113,193,225,true
10,1114,193,67,true
10,1115,193,305,true
10,1116,193,156,true
10,1117,193,159,true
10,1118,193,242,true
10,1119,193,292,true
10,1120,189,305,true
10,1121,196,350,true
10,1122,196,428,true
10,1123,189,410,true
10,1124,189,348,true
10,1125,196,322,true
10,1126,190,379,true
10,1127,190,185,true
10,1128,190,662,true
10,1129,190,436,true
10,1130,190,599,true
10,1131,192,384,true
10,1132,191,356,true
10,1133,191,174,true
10,1134,191,206,true
10,1135,191,128,true
10,1136,191,326,true
10,1137,191,187,true
10,1138,191,183,true
10,1139,192,195,true
10,1140,192,166,true
10,1141,192,113,true
10,1142,192,390,true
10,1143,192,443,true
10,1144,192,417,true
10,1145,194,328,true
10,1146,194,237,true
10,1147,215,357,true
10,1148,194,251,true
10,1149,194,458,true
10,1150,200,333,true
10,1151,195,124,true
10,1152,195,265,true
10,1153,195,172,true
10,1154,195,59,true
10,1155,195,235,true
10,1156,195,111,true
10,1157,196,477,true
10,1158,196,206,true
10,1159,196,466,true
10,1160,196,127,true
10,1161,196,443,true
10,1162,196,233,true
10,1163,197,196,true
10,1164,197,211,true
10,1165,197,445,true
10,1166,197,223,true
10,1167,197,251,true
10,1168,197,321,true
10,1169,224,236,true
10,1170,224,226,true
10,1171,224,239,true
10,1172,224,203,true
10,1173,224,219,true
10,1174,224,194,true
10,1175,611,228,true
10,1176,196,286,true
10,1177,199,270,true
10,1178,199,228,true
10,1178,611,4,false
10,1179,611,197,true
10,1180,199,192,true
